date,hospital,icu,ventilator
2020-03-13,0,0,
2020-03-16,0,0,
2020-03-17,0,0,
2020-03-18,0,0,
2020-03-19,0,0,
2020-03-22,0,0,
2020-03-23,,,
2020-03-24,,,
2020-03-25,0,0,
2020-03-26,0,0,
2020-03-29,0,0,
2020-03-30,0,0,
2020-03-31,0,0,
2020-04-01,0,0,
2020-04-02,0,0,
2020-04-03,0,0,
2020-04-04,0,0,
2020-04-05,0,0,
2020-04-06,0,0,
2020-04-07,0,0,
2020-04-08,0,0,
2020-04-09,0,0,
2020-04-10,0,0,
2020-04-11,0,0,
2020-04-12,0,0,
2020-04-13,0,0,
2020-04-18,0,0,
2020-04-19,0,0,
2020-04-20,0,0,
2020-04-21,0,0,
2020-04-22,0,0,
2020-04-23,0,0,
2020-04-25,0,0,
2020-04-26,0,0,
2020-04-27,0,0,
2020-04-28,0,0,
2020-04-29,0,0,
2020-04-30,0,0,
2020-05-01,0,0,
2020-05-02,0,0,
2020-05-03,0,0,
2020-05-04,0,0,
2020-05-05,0,0,
2020-05-06,0,0,
2020-05-07,0,0,
2020-05-08,0,0,
2020-05-09,0,0,
2020-05-10,0,0,
2020-05-11,0,0,
2020-05-12,0,0,
2020-05-13,16,3,
2020-05-17,15,4,
2020-05-18,12,3,
2020-05-19,12,3,
2020-05-20,12,3,
2020-05-21,11,3,
2020-05-22,12,5,
2020-05-23,11,5,
2020-05-24,11,4,
2020-05-25,12,4,
2020-05-26,14,3,
2020-05-27,22,3,
2020-05-28,21,3,
2020-05-29,18,5,
2020-05-30,22,4,
2020-05-31,27,4,
2020-06-01,25,3,
2020-06-02,23,4,
2020-06-03,16,5,
2020-06-04,18,5,
2020-06-05,19,5,
2020-06-06,21,6,
2020-06-07,21,6,
2020-06-08,28,6,
2020-06-09,35,6,
2020-06-10,38,8,
2020-06-12,40,7,
2020-06-13,45,7,
2020-06-14,40,7,
2020-06-15,0,0,
2020-06-16,42,8,
2020-06-17,44,9,
2020-06-18,47,8,
2020-06-19,57,7,
2020-06-20,56,7,
2020-06-21,69,10,
2020-06-22,72,10,
2020-06-23,70,11,
2020-06-24,68,14,
2020-06-25,62,14,
2020-06-26,72,15,
2020-06-27,69,12,
2020-06-28,62,15,
2020-06-29,73,11,
2020-06-30,72,7,
2020-07-01,61,10,
2020-07-02,68,9,
2020-07-03,72,8,
2020-07-04,80,8,
2020-07-05,78,11,
2020-07-06,70,9,
2020-07-07,74,7,
2020-07-08,73,10,
2020-07-09,73,11,
2020-07-10,70,11,
2020-07-11,64,8,
2020-07-12,64,8,
2020-07-13,75,10,
2020-07-14,80,10,
2020-07-16,91,11,
2020-07-17,97,9,
2020-07-18,96,14,
2020-07-19,106,17,
2020-07-20,105,18,
2020-07-21,105,18,
2020-07-23,104,22,
2020-07-24,103,21,
2020-07-25,103,21,
2020-07-26,92,19,
2020-07-27,92,19,
2020-07-28,101,22,
2020-07-29,101,22,
2020-07-30,106,18,
2020-07-31,99,16,
2020-08-01,101,18,
2020-08-02,102,18,
2020-08-03,108,14,
2020-08-04,108,14,
2020-08-05,89,21,
2020-08-06,97,22,
2020-08-07,102,20,
2020-08-08,102,20,
2020-08-09,96,18,
2020-08-10,103,19,
2020-08-11,103,19,
2020-08-12,96,20,
2020-08-13,95,19,
2020-08-14,99,16,
2020-08-15,105,14,
2020-08-16,110,15,
2020-08-17,101,16,
2020-08-18,83,12,
2020-08-19,84,17,
2020-08-20,102,19,
2020-08-23,129,19,
2020-08-24,136,15,
2020-08-25,147,13,
2020-08-26,150,14,
2020-08-27,154,14,
2020-08-28,155,18,
2020-08-29,158,17,
2020-08-30,160,18,
2020-08-31,163,17,
2020-09-01,159,22,
2020-09-02,163,22,
2020-09-03,169,20,
2020-09-04,172,18,
2020-09-05,177,12,
2020-09-07,177,21,
2020-09-08,180,19,
2020-09-09,173,19,
2020-09-10,168,20,
2020-09-11,167,21,
2020-09-12,167,21,
2020-09-13,159,19,
2020-09-14,161,18,
2020-09-15,153,18,
2020-09-16,158,16,
2020-09-17,158,16,
2020-09-18,160,15,
2020-09-19,165,13,
2020-09-20,172,13,
2020-09-21,173,16,
2020-09-22,184,17,
2020-09-23,171,18,
2020-09-24,170,16,
2020-09-25,160,18,
2020-09-26,161,18,
2020-09-27,164,18,
2020-09-28,169,16,
2020-09-29,164,16,
2020-09-30,173,16,
2020-10-01,183,20,
2020-10-02,179,23,
2020-10-03,176,24,
2020-10-04,186,20,
2020-10-05,195,19,
2020-10-06,199,15,
2020-10-07,214,17,
2020-10-08,214,17,
2020-10-09,222,17,
2020-10-10,217,15,
2020-10-11,230,16,
2020-10-12,230,14,
2020-10-13,231,13,
2020-10-14,224,15,
2020-10-15,228,21,
2020-10-16,234,21,
2020-10-17,239,20,
2020-10-18,231,25,
2020-10-19,237,22,
2020-10-20,233,22,
2020-10-21,238,19,
2020-10-22,239,19,
2020-10-23,245,15,
2020-10-25,252,19,
2020-10-26,266,14,
2020-10-27,270,15,
2020-10-28,278,11,
2020-10-29,278,13,
2020-10-30,286,15,
2020-10-31,303,16,
2020-11-01,279,14,
2020-11-02,316,12,
2020-11-03,323,13,
2020-11-05,336,10,
2020-11-06,341,9,
2020-11-07,343,9,
2020-11-08,361,13,
2020-11-09,350,10,
2020-11-10,352,15,
