data,hospital,icu,ventilator
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,0,0,0
2020-01-28,0,0,0
2020-01-29,0,0,0
2020-01-30,0,0,0
2020-01-31,0,0,0
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,32,6,0
2020-04-01,400,76,33
2020-04-02,415,81,32
2020-04-03,410,86,32
2020-04-04,460,92,33
2020-04-05,460,96,33
2020-04-06,458,96,35
2020-04-07,305,93,37
2020-04-08,263,87,36
2020-04-09,262,81,36
2020-04-10,236,74,38
2020-04-11,240,80,38
2020-04-12,239,81,35
2020-04-13,227,79,46
2020-04-14,230,80,44
2020-04-15,214,73,42
2020-04-16,201,67,38
2020-04-17,192,60,38
2020-04-18,184,56,34
2020-04-19,178,48,33
2020-04-20,170,49,32
2020-04-21,167,47,33
2020-04-22,162,47,31
2020-04-23,152,46,29
2020-04-24,139,42,28
2020-04-25,129,43,28
2020-04-26,115,43,25
2020-04-27,113,44,27
2020-04-28,110,43,27
2020-04-29,94,38,26
2020-04-30,89,34,22
2020-05-01,83,29,21
2020-05-02,79,28,21
2020-05-03,75,28,20
2020-05-04,70,28,20
2020-05-05,66,27,20
2020-05-06,62,27,18
2020-05-07,58,23,17
2020-05-08,56,21,16
2020-05-09,51,19,15
2020-05-10,43,18,15
2020-05-11,49,16,14
2020-05-12,47,16,15
2020-05-13,50,17,14
2020-05-14,51,18,13
2020-05-15,47,18,13
2020-05-16,49,16,12
2020-05-17,50,16,12
2020-05-18,45,12,7
2020-05-19,47,11,7
2020-05-20,44,9,7
2020-05-21,41,9,7
2020-05-22,40,7,6
2020-05-23,36,5,5
2020-05-24,33,5,5
2020-05-25,31,5,5
2020-05-26,30,5,5
2020-05-27,30,6,3
2020-05-28,29,5,3
2020-05-29,23,4,3
2020-05-30,22,4,3
2020-05-31,20,4,1
2020-06-01,20,3,1
2020-06-02,26,4,2
2020-06-03,25,5,2
2020-06-04,23,4,2
2020-06-05,21,3,2
2020-06-06,21,4,2
2020-06-07,18,3,2
2020-06-08,19,3,2
2020-06-09,19,2,2
2020-06-10,20,3,2
2020-06-11,18,2,2
2020-06-12,18,2,2
2020-06-13,16,2,0
2020-06-14,16,3,0
2020-06-15,17,4,0
2020-06-16,17,3,2
2020-06-17,16,3,3
2020-06-18,14,3,2
2020-06-19,15,2,2
2020-06-20,17,3,0
2020-06-21,14,2,0
2020-06-22,16,2,0
2020-06-23,19,3,0
2020-06-24,16,2,0
2020-06-25,16,2,0
2020-06-26,12,1,0
2020-06-27,12,1,0
2020-06-28,11,1,0
2020-06-29,15,1,0
2020-06-30,14,1,0
2020-07-01,18,3,0
2020-07-02,24,5,0
2020-07-03,27,7,0
2020-07-04,29,4,0
2020-07-05,30,4,0
2020-07-06,34,6,0
2020-07-07,39,10,0
2020-07-08,46,8,0
2020-07-09,45,10,0
2020-07-10,54,13,0
2020-07-11,55,16,0
2020-07-12,67,17,0
2020-07-13,92,18,0
2020-07-14,90,27,0
2020-07-15,111,28,0
2020-07-16,114,30,0
2020-07-17,127,32,22
2020-07-18,115,26,18
2020-07-19,135,29,18
2020-07-20,156,33,17
2020-07-21,182,38,23
2020-07-22,215,42,25
2020-07-23,211,41,25
2020-07-24,217,44,1
2020-07-25,239,46,1
2020-07-26,241,46,22
2020-07-27,259,49,24
2020-07-28,275,47,24
2020-07-29,323,46,1
2020-07-30,330,40,1
2020-07-31,367,44,27
2020-08-01,401,50,28
2020-08-02,408,46,30
2020-08-03,439,43,31
2020-08-04,483,44,5
2020-08-05,566,51,36
2020-08-06,600,52,34
2020-08-07,632,51,33
2020-08-08,659,53,35
2020-08-09,659,51,32
2020-08-10,664,55,37
2020-08-11,673,59,33
2020-08-12,686,51,32
2020-08-13,686,44,31
2020-08-14,679,47,31
2020-08-15,683,48,33
2020-08-16,680,47,34
2020-08-17,674,51,37
2020-08-18,682,52,37
2020-08-19,694,53,34
2020-08-20,644,51,33
2020-08-21,647,47,31
2020-08-22,631,43,27
2020-08-23,604,39,26
2020-08-24,659,38,22
2020-08-25,644,42,23
2020-08-26,603,46,20
2020-08-27,558,35,15
2020-08-28,543,35,21
2020-08-29,510,32,21
2020-08-30,501,31,15
2020-08-31,481,27,17
2020-09-01,450,26,10
2020-09-02,433,23,16
2020-09-03,391,26,18
2020-09-04,357,27,17
2020-09-05,326,27,19
2020-09-06,310,26,20
2020-09-07,294,32,21
2020-09-08,263,29,16
2020-09-09,221,26,15
2020-09-10,195,23,15
2020-09-11,163,18,12
2020-09-12,151,15,10
2020-09-13,137,17,7
2020-09-14,141,18,10
2020-09-15,139,17,10
2020-09-16,126,16,9
2020-09-17,117,16,9
2020-09-18,108,15,9
2020-09-19,106,12,7
2020-09-20,109,10,6
2020-09-21,107,8,4
2020-09-22,100,11,6
2020-09-23,89,11,7
2020-09-24,81,11,7
2020-09-25,71,11,7
2020-09-26,68,12,5
2020-09-27,66,12,5
2020-09-28,62,11,4
2020-09-29,60,8,4
2020-09-30,55,9,3
2020-10-01,50,9,3
2020-10-02,51,6,3
2020-10-03,49,6,3
2020-10-04,46,6,1
2020-10-05,46,6,2
2020-10-06,37,5,2
2020-10-07,32,6,0
2020-10-08,31,3,0
2020-10-09,28,4,0
2020-10-10,31,4,0
2020-10-11,31,2,0
2020-10-12,32,1,0
2020-10-13,32,1,0
2020-10-14,28,1,0
2020-10-15,26,1,0
2020-10-16,20,1,0
2020-10-17,18,1,0
2020-10-18,16,1,0
2020-10-19,17,1,0
