date,hospital,icu,ventilator
2020-03-05,,,
2020-03-06,,,
2020-03-07,,,
2020-03-08,,,
2020-03-09,,,
2020-03-10,,,
2020-03-11,,,
2020-03-12,,,
2020-03-13,,,
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-25,,,
2020-03-26,0,0,
2020-03-27,0,0,
2020-03-28,0,0,
2020-03-29,0,0,
2020-03-30,0,0,
2020-03-31,0,0,
2020-04-01,935,242,
2020-04-02,935,265,
2020-04-03,935,299,
2020-04-04,935,288,
2020-04-05,748,276,
2020-04-06,935,276,
2020-04-07,748,242,
2020-04-08,748,242,
2020-04-09,748,242,
2020-04-10,748,242,
2020-04-11,748,253,
2020-04-12,748,253,
2020-04-13,748,219,
2020-04-14,748,230,
2020-04-15,748,230,
2020-04-16,748,242,
2020-04-17,748,219,
2020-04-18,561,207,
2020-04-19,561,184,
2020-04-20,561,196,
2020-04-21,561,196,
2020-04-22,561,161,
2020-04-23,561,173,
2020-04-24,561,150,
2020-04-25,561,138,
2020-04-26,561,138,
2020-04-27,561,138,
2020-04-28,561,127,
2020-04-29,374,127,
2020-04-30,374,127,
2020-05-01,374,127,
2020-05-02,374,115,
2020-05-03,374,115,
2020-05-04,374,115,
2020-05-05,374,104,
2020-05-06,374,104,
2020-05-07,374,92,
2020-05-08,374,92,
2020-05-09,374,81,
2020-05-10,187,81,
2020-05-11,187,69,
2020-05-12,187,58,
2020-05-13,187,58,
2020-05-14,187,58,
2020-05-15,187,58,
2020-05-16,187,69,
2020-05-17,187,58,
2020-05-18,187,58,
2020-05-19,187,46,
2020-05-20,187,46,
2020-05-21,187,46,
2020-05-22,187,35,
2020-05-23,187,35,
2020-05-24,187,35,
2020-05-25,187,35,
2020-05-26,187,35,
2020-05-27,187,46,
2020-05-28,187,35,
2020-05-29,187,35,
2020-05-30,187,35,
2020-05-31,187,35,
2020-06-01,187,35,
2020-06-02,0,35,
2020-06-03,187,23,
2020-06-04,187,35,
2020-06-05,187,23,
2020-06-06,187,23,
2020-06-07,187,23,
2020-06-08,187,23,
2020-06-09,187,23,
2020-06-10,187,23,
2020-06-11,187,23,
2020-06-12,187,46,
2020-06-13,187,46,
2020-06-14,187,46,
2020-06-15,0,0,
2020-06-16,187,12,
2020-06-17,187,12,
2020-06-18,187,12,
2020-06-19,187,12,
2020-06-20,187,12,
2020-06-21,187,12,
2020-06-22,187,12,
2020-06-23,187,12,
2020-06-24,187,12,
2020-06-25,187,12,
2020-06-26,187,12,
2020-06-27,187,12,
2020-06-28,187,12,
2020-06-29,187,12,
2020-06-30,187,12,
2020-07-01,187,12,
2020-07-02,187,12,
2020-07-03,187,12,
2020-07-04,187,12,
2020-07-05,187,12,
2020-07-06,187,12,
2020-07-07,187,12,
2020-07-08,187,23,
2020-07-09,187,23,
2020-07-10,187,12,
2020-07-11,187,12,
2020-07-12,187,12,
2020-07-14,187,12,
2020-07-15,187,12,
2020-07-16,187,23,
2020-07-17,187,12,
2020-07-18,187,12,
2020-07-19,187,23,
2020-07-20,187,23,
2020-07-21,187,23,
2020-07-22,187,23,
2020-07-23,187,23,
2020-07-24,187,23,
2020-07-25,187,23,
2020-07-26,187,23,
2020-07-27,187,23,
2020-07-28,187,23,
2020-07-29,187,35,
2020-07-30,187,23,
2020-07-31,187,23,
2020-08-01,187,23,
2020-08-02,187,35,
2020-08-03,187,35,
2020-08-04,187,35,
2020-08-05,187,35,
2020-08-06,187,35,
2020-08-07,187,35,
2020-08-08,187,35,
2020-08-09,187,35,
2020-08-10,187,35,
2020-08-11,187,35,
2020-08-12,187,35,
2020-08-13,187,35,
2020-08-14,187,23,
2020-08-15,187,35,
2020-08-16,187,23,
2020-08-17,187,35,
2020-08-18,187,23,
2020-08-19,187,35,
2020-08-20,187,35,
2020-08-23,187,35,
2020-08-25,187,35,
2020-08-26,374,35,
2020-08-27,374,35,
2020-08-28,374,46,
2020-08-29,374,46,
2020-08-30,187,46,
2020-08-31,187,46,
2020-09-01,187,46,
2020-09-02,374,46,
2020-09-03,374,46,
2020-09-04,374,46,
2020-09-05,374,46,
2020-09-07,187,46,
2020-09-08,374,46,
2020-09-09,374,58,
2020-09-10,374,58,
2020-09-11,374,69,
2020-09-12,374,69,
2020-09-13,374,69,
2020-09-14,374,69,
2020-09-15,561,69,
2020-09-16,748,92,
2020-09-17,748,81,
2020-09-18,748,92,
2020-09-19,748,127,
2020-09-20,561,104,
2020-09-21,561,104,
2020-09-22,748,115,
2020-09-23,748,127,
2020-09-24,935,127,
2020-09-25,935,127,
2020-09-26,935,127,
2020-09-27,748,127,
2020-09-28,748,138,
2020-09-29,935,138,
2020-09-30,935,138,
2020-10-01,935,150,
2020-10-02,935,161,
2020-10-03,935,150,
2020-10-04,935,150,
2020-10-05,748,138,
2020-10-06,935,138,
2020-10-07,935,138,
2020-10-08,935,138,
2020-10-09,935,161,
2020-10-10,935,138,
2020-10-11,431,96,
2020-10-12,464,97,
2020-10-13,504,107,
2020-10-14,542,112,
2020-10-15,545,119,
2020-10-16,584,122,
2020-10-17,594,130,
2020-10-18,607,135,
2020-10-19,654,145,
2020-10-20,744,145,
2020-10-21,813,147,
2020-10-22,841,161,
2020-10-23,900,258,
2020-10-24,1002,175,
2020-10-25,1051,174,
2020-10-26,1142,188,
2020-10-27,1197,203,
2020-10-28,1345,224,
2020-10-29,1444,248,
2020-10-30,1540,263,
2020-10-31,1602,265,
2020-11-01,1657,291,
2020-11-02,1825,336,
2020-11-03,2065,366,
2020-11-04,2201,383,
2020-11-05,2330,407,
2020-11-06,2504,431,
2020-11-07,2574,432,
