date,hospital,icu,ventilator
2020-03-01,0,0,
2020-03-02,0,0,
2020-03-03,0,0,
2020-03-04,0,0,
2020-03-05,0,0,
2020-03-06,0,0,
2020-03-07,0,0,
2020-03-08,0,0,
2020-03-09,0,0,
2020-03-10,0,0,
2020-03-11,0,0,
2020-03-12,0,0,
2020-03-13,0,0,
2020-03-14,0,0,
2020-03-15,266,54,
2020-03-16,370,79,
2020-03-17,497,100,
2020-03-18,650,131,
2020-03-19,844,165,
2020-03-20,1101,228,
2020-03-21,1384,290,
2020-03-22,1646,322,
2020-03-23,1883,385,
2020-03-24,2140,474,
2020-03-25,2721,612,
2020-03-26,3077,690,
2020-03-27,3650,789,
2020-03-28,4089,867,
2020-03-29,4480,942,
2020-03-30,4897,1021,
2020-03-31,4989,1088,
2020-04-01,5220,1144,
2020-04-02,5383,1205,
2020-04-03,5513,1245,
2020-04-04,5531,1261,
2020-04-05,5620,1267,
2020-04-06,5759,1260,
2020-04-07,5715,1276,
2020-04-08,5616,1285,
2020-04-09,5636,1278,
2020-04-10,5663,1262,
2020-04-11,5437,1232,
2020-04-12,5441,1234,
2020-04-13,5554,1226,
2020-04-14,5532,1204,
2020-04-15,5331,1182,
2020-04-16,5181,1150,
2020-04-17,5088,1119,
2020-04-18,4892,1081,
2020-04-19,4940,1071,
2020-04-20,4996,1079,
2020-04-21,4765,1020,
2020-04-22,4527,993,
2020-04-23,4355,970,
2020-04-24,4195,934,
2020-04-25,3957,901,
2020-04-26,3968,903,
2020-04-27,3976,876,
2020-04-28,3733,797,
2020-04-29,3609,769,
2020-04-30,3386,749,
2020-05-01,3109,690,
2020-05-02,3080,684,
2020-05-03,3044,655,
2020-05-04,3082,646,
2020-05-05,2868,582,
2020-05-06,2699,542,
2020-05-07,2555,508,
2020-05-08,2381,502,
2020-05-09,2222,475,
2020-05-10,2222,477,
2020-05-11,2230,465,
2020-05-12,2085,427,
2020-05-13,1966,407,
2020-05-14,1862,380,
2020-05-15,1750,364,
2020-05-16,1625,345,
2020-05-17,1614,342,
2020-05-18,1630,345,
2020-05-19,1527,313,
2020-05-20,1448,277,
2020-05-21,1388,268,
2020-05-22,1360,259,
2020-05-23,1296,256,
2020-05-24,1306,251,
2020-05-25,1304,249,
2020-05-26,1150,223,
2020-05-27,1050,209,
2020-05-28,939,187,
2020-05-29,892,173,
2020-05-30,823,168,
2020-05-31,818,164,
2020-06-01,821,166,
2020-06-02,821,172,
2020-06-03,739,145,
2020-06-04,702,137,
2020-06-05,647,121,
2020-06-06,573,111,
2020-06-07,576,116,
2020-06-08,575,115,
2020-06-09,527,102,
2020-06-10,484,99,
2020-06-11,479,89,
2020-06-12,425,88,
2020-06-13,395,82,
2020-06-14,400,85,
2020-06-15,395,76,
2020-06-16,371,67,
2020-06-17,344,60,
2020-06-18,340,52,
2020-06-19,308,50,
2020-06-20,292,53,
2020-06-21,295,50,
2020-06-22,293,42,
2020-06-23,281,41,
2020-06-24,268,40,
2020-06-25,256,38,
2020-06-26,247,36,
2020-06-27,237,34,
2020-06-28,237,36,
2020-06-29,244,41,
2020-06-30,222,37,
2020-07-01,203,36,
2020-07-02,187,35,
2020-07-03,168,32,
2020-07-04,170,29,
2020-07-05,170,30,
2020-07-06,169,27,
2020-07-07,178,32,
2020-07-08,165,32,
2020-07-09,160,36,
2020-07-10,143,32,
2020-07-11,132,28,
2020-07-12,130,27,
2020-07-13,138,23,
2020-07-14,147,27,
2020-07-15,150,27,
2020-07-16,147,28,
2020-07-17,145,28,
2020-07-18,161,30,
2020-07-19,168,31,
2020-07-20,181,36,
2020-07-21,172,33,
2020-07-22,191,41,
2020-07-23,203,40,
2020-07-24,218,41,
2020-07-25,211,44,
2020-07-26,210,47,
2020-07-27,222,52,
2020-07-28,232,49,
2020-07-29,263,47,
2020-07-30,267,42,
2020-07-31,252,49,
2020-08-01,259,56,
2020-08-02,271,58,
2020-08-03,290,54,
2020-08-04,265,63,
2020-08-05,293,61,
2020-08-07,285,69,
2020-08-09,285,69,
2020-08-11,307,77,
2020-08-12,301,76,
2020-08-13,309,74,
2020-08-14,310,80,
2020-08-15,309,82,
2020-08-16,336,86,
2020-08-17,341,91,
2020-08-18,335,89,
2020-08-19,334,83,
2020-08-21,312,74,
2020-08-22,310,85,
2020-08-23,312,87,
2020-08-24,320,89,
2020-08-25,282,85,
2020-08-27,258,82,
2020-08-28,252,77,
2020-08-30,233,71,
2020-08-31,243,74,
2020-09-01,226,68,
2020-09-02,221,60,
2020-09-03,209,58,
2020-09-04,215,52,
2020-09-05,215,53,
2020-09-06,223,53,
2020-09-07,235,52,
2020-09-08,260,59,
2020-09-09,245,59,
2020-09-10,249,65,
2020-09-12,260,68,
2020-09-13,292,71,
2020-09-15,315,67,
2020-09-16,353,74,
2020-09-17,371,69,
2020-09-19,417,78,
2020-09-20,428,77,
2020-09-21,486,87,
2020-09-22,505,94,
2020-09-23,550,95,
2020-09-24,602,104,
2020-09-26,626,120,
2020-09-28,708,140,
2020-09-29,716,150,
2020-09-30,737,157,
2020-10-01,771,156,
2020-10-02,789,163,
2020-10-03,819,185,
2020-10-04,866,186,
2020-10-05,937,195,
2020-10-06,952,189,
2020-10-07,1050,201,
2020-10-08,1110,213,
2020-10-10,1257,226,
2020-10-11,1329,243,
2020-10-12,1472,267,
2020-10-13,1621,281,
2020-10-14,1777,313,
2020-10-15,1949,327,
2020-10-16,2098,358,
2020-10-17,2255,381,
2020-10-18,2485,412,
2020-10-19,2774,446,
2020-10-20,2969,486,
2020-10-21,3274,525,
2020-10-22,3649,573,
2020-10-23,4061,632,
2020-10-24,4401,708,
2020-10-25,4827,757,
2020-10-26,5260,809,
2020-10-27,5554,911,
2020-10-28,5924,993,
2020-10-29,6187,1057,
2020-10-30,6438,1105,
2020-10-31,6497,1160,
2020-11-01,6823,1223,
2020-11-02,7231,1302,
2020-11-03,7485,1351,
2020-11-04,7405,1412,
2020-11-05,7282,1428,
2020-11-06,7208,1459,
2020-11-07,6893,1464,
