data,hospital,icu,ventilator
2020-04-06,210,26,
2020-04-07,213,26,
2020-04-08,233,27,
2020-04-09,233,32,
2020-04-10,231,33,
2020-04-11,231,35,
2020-04-12,230,36,
2020-04-13,230,36,
2020-04-14,209,29,
2020-04-15,218,31,
2020-04-16,227,37,
2020-04-17,244,44,
2020-04-18,246,44,
2020-04-19,259,36,
2020-04-20,268,36,
2020-04-21,268,34,
2020-04-22,281,40,
2020-04-23,270,37,
2020-04-24,282,41,
2020-04-25,292,41,
2020-04-26,292,37,
2020-04-27,301,41,
2020-04-28,301,39,
2020-04-29,287,39,
2020-04-30,317,40,
2020-05-01,317,43,
2020-05-02,321,43,
2020-05-03,321,40,
2020-05-04,321,40,
2020-05-05,316,37,
2020-05-06,316,39,
2020-05-07,353,38,
2020-05-08,355,43,
2020-05-09,380,49,
2020-05-10,389,56,
2020-05-11,385,58,
2020-05-12,368,50,
2020-05-13,365,51,
2020-05-14,365,51,
2020-05-15,321,49,
2020-05-16,322,45,
2020-05-17,323,46,
2020-05-18,329,43,
2020-05-19,299,36,
2020-05-20,285,33,
2020-05-21,287,31,
2020-05-22,258,29,
2020-05-23,258,29,
2020-05-24,234,22,
2020-05-25,235,20,
2020-05-26,229,21,
2020-05-27,229,22,
2020-05-28,198,20,
2020-05-29,191,20,
2020-05-30,165,18,
2020-05-31,161,17,
2020-06-01,153,16,
2020-06-02,141,20,
2020-06-03,132,9,
2020-06-04,141,8,
2020-06-05,149,8,
2020-06-06,147,12,
2020-06-07,155,12,
2020-06-08,158,12,
2020-06-09,152,15,
2020-06-10,161,13,
2020-06-11,187,17,
2020-06-12,204,15,
2020-06-13,215,15,
2020-06-14,247,16,
2020-06-15,244,15,
2020-06-16,253,14,
2020-06-17,267,13,
2020-06-18,276,12,
2020-06-19,289,13,
2020-06-20,314,17,
2020-06-21,322,13,
2020-06-22,322,13,
2020-06-23,341,11,
2020-06-24,362,13,
2020-06-25,390,16,
2020-06-26,384,16,
2020-06-27,392,18,
2020-06-28,423,20,
2020-06-29,423,25,
2020-06-30,434,31,
2020-07-01,435,32,
2020-07-02,446,32,
2020-07-03,443,31,
2020-07-04,450,29,
2020-07-05,463,29,
2020-07-06,458,28,
2020-07-07,470,29,
2020-07-08,483,32,
2020-07-09,498,29,
2020-07-10,525,28,
2020-07-11,516,32,
2020-07-12,532,33,
2020-07-13,535,33,
2020-07-14,529,29,
2020-07-15,551,27,
2020-07-16,575,28,
2020-07-17,582,28,
2020-07-18,606,33,
2020-07-19,605,34,
2020-07-20,610,34,
2020-07-21,624,34,
2020-07-22,622,31,
2020-07-23,642,24,
2020-07-24,665,27,
2020-07-25,669,28,
2020-07-26,694,33,
2020-07-27,682,34,
2020-07-28,686,39,
2020-07-29,699,40,
2020-07-30,722,37,
2020-07-31,751,34,
2020-08-01,778,42,
2020-08-02,793,43,
2020-08-03,814,46,
2020-08-04,823,43,
2020-08-05,847,41,
2020-08-06,872,44,
2020-08-07,874,47,
2020-08-08,857,55,
2020-08-09,848,55,
2020-08-10,849,54,
2020-08-11,854,54,
2020-08-12,861,64,
2020-08-13,834,63,
2020-08-14,824,63,
2020-08-15,811,58,
2020-08-16,811,55,
2020-08-17,807,56,
2020-08-18,768,56,
2020-08-19,782,61,
2020-08-20,752,60,
2020-08-21,766,63,
2020-08-22,734,73,
2020-08-23,743,74,
2020-08-24,745,74,
2020-08-25,714,65,
2020-08-26,715,64,
2020-08-27,741,60,
2020-08-28,726,65,
2020-08-29,712,59,
2020-08-30,723,61,
2020-08-31,726,63,
2020-09-01,727,65,
2020-09-02,737,62,
2020-09-03,758,63,
2020-09-04,764,61,
2020-09-05,763,56,
2020-09-06,755,57,
2020-09-07,766,54,
2020-09-08,773,53,
2020-09-09,762,57,
2020-09-10,753,60,
2020-09-11,746,55,
2020-09-12,735,56,
2020-09-13,736,53,
2020-09-14,740,53,
2020-09-15,730,49,
2020-09-16,734,46,
2020-09-17,744,43,
2020-09-18,744,37,
2020-09-19,728,34,
2020-09-20,723,37,
2020-09-21,718,35,
2020-09-22,714,33,
2020-09-23,716,31,
2020-09-24,726,29,
2020-09-25,744,30,
2020-09-26,782,36,
2020-09-27,791,36,
2020-09-28,794,41,
2020-09-29,780,42,
2020-09-30,814,44,
2020-10-01,837,44,
2020-10-02,857,47,
2020-10-03,887,50,
2020-10-04,912,54,
2020-10-05,917,56,
2020-10-06,930,59,
2020-10-07,971,57,
2020-10-08,1033,53,
2020-10-09,1063,56,
2020-10-10,1131,58,
2020-10-11,1189,59,
2020-10-12,1205,62,
2020-10-13,1221,65,
2020-10-14,1307,64,
2020-10-15,1380,67,
2020-10-16,1426,74,
2020-10-17,1450,76,
2020-10-18,1484,79,
2020-10-19,1500,74,
2020-10-20,1562,88,
2020-10-21,1633,93,
2020-10-22,1732,107,
2020-10-23,1792,112,
2020-10-24,1886,127,
2020-10-25,1976,138,
2020-10-26,2036,146,
2020-10-27,2130,149,
2020-10-28,2217,145,
2020-10-29,2316,162,
2020-10-30,2376,167,
2020-10-31,2447,165,
2020-11-01,2612,166,
2020-11-02,2680,169,
2020-11-03,2841,180,
2020-11-04,2922,210,
2020-11-05,3191,239,
2020-11-06,3424,250,
2020-11-07,3563,257,
2020-11-08,3715,271,
2020-11-09,3822,272,
2020-11-10,4004,270,
2020-11-11,4176,280,
2020-11-12,4478,276,
2020-11-13,4768,284,
