data,hospital,icu,ventilator
2020-04-01,327,193,127
2020-04-02,734,415,295
2020-04-03,798,422,314
2020-04-04,869,455,328
2020-04-05,879,488,340
2020-04-06,906,505,377
2020-04-07,965,527,396
2020-04-08,1025,554,426
2020-04-09,1110,544,435
2020-04-10,1218,498,377
2020-04-11,1266,509,318
2020-04-12,1313,519,333
2020-04-13,1411,500,371
2020-04-14,1426,529,374
2020-04-15,1517,522,379
2020-04-16,1547,527,336
2020-04-17,1614,525,326
2020-04-18,1635,515,324
2020-04-19,1737,534,366
2020-04-20,1813,530,362
2020-04-21,1882,524,362
2020-04-22,2044,516,351
2020-04-23,2091,541,379
2020-04-24,2164,525,349
2020-04-25,2183,525,343
2020-04-26,2226,519,372
2020-04-27,2335,520,374
2020-04-28,2374,525,367
2020-04-29,2444,510,355
2020-04-30,2441,502,350
2020-05-01,2481,497,309
2020-05-02,2493,498,328
2020-05-03,2573,491,340
2020-05-04,2611,490,332
2020-05-05,2638,482,339
2020-05-06,2614,489,321
2020-05-07,2621,466,327
2020-05-08,2587,452,308
2020-05-09,2649,440,274
2020-05-10,2612,429,289
2020-05-11,2667,417,284
2020-05-12,2701,420,288
2020-05-13,2628,408,290
2020-05-14,2663,401,280
2020-05-15,2616,395,269
2020-05-16,2621,381,250
2020-05-17,2582,368,248
2020-05-18,2654,374,250
2020-05-19,2405,371,246
2020-05-20,2355,355,235
2020-05-21,2288,346,235
2020-05-22,2231,336,230
2020-05-23,2185,340,215
2020-05-24,2143,340,223
2020-05-25,2180,344,224
2020-05-26,2123,350,229
2020-05-27,2090,332,207
2020-05-28,2005,319,206
2020-05-29,1949,304,187
2020-05-30,1935,304,197
2020-05-31,1912,302,197
2020-06-01,1917,300,186
2020-06-02,1870,301,188
2020-06-03,1804,284,177
2020-06-04,1674,265,174
2020-06-05,1584,261,179
2020-06-06,1541,262,179
2020-06-07,1555,252,163
2020-06-08,1522,249,165
2020-06-09,1420,252,160
2020-06-10,1363,249,156
2020-06-11,1313,237,149
2020-06-12,1220,227,129
2020-06-13,1184,203,135
2020-06-14,1173,199,114
2020-06-15,1120,193,119
2020-06-16,1046,182,111
2020-06-17,983,166,104
2020-06-18,910,159,107
2020-06-19,823,158,107
2020-06-20,789,166,101
2020-06-21,801,151,100
2020-06-22,796,145,94
2020-06-23,781,142,85
2020-06-24,750,135,85
2020-06-25,744,127,79
2020-06-26,714,114,68
2020-06-27,703,110,68
2020-06-28,686,107,65
2020-06-29,688,95,61
2020-06-30,622,91,52
2020-07-01,603,87,45
2020-07-02,591,87,48
2020-07-03,576,81,48
2020-07-04,549,79,46
2020-07-05,555,73,43
2020-07-06,530,71,41
2020-07-07,508,73,43
2020-07-08,476,68,36
2020-07-09,492,72,36
2020-07-10,469,67,29
2020-07-11,464,65,29
2020-07-12,469,67,29
2020-07-13,452,71,34
2020-07-14,446,65,35
2020-07-15,445,62,33
2020-07-16,429,67,32
