date,hospital,icu,ventilator
2020-04-15,341,,
2020-04-16,372,,
2020-04-17,372,,
2020-04-18,361,,
2020-04-19,331,,
2020-04-20,324,,
2020-04-21,317,,
2020-04-22,314,,
2020-04-23,321,,
2020-04-24,325,,
2020-04-25,316,,
2020-04-26,314,,
2020-04-27,303,,
2020-04-28,287,,
2020-04-29,269,,
2020-04-30,261,,
2020-05-01,245,,
2020-05-02,239,,
2020-05-03,231,,
2020-05-04,228,,
2020-05-05,217,,
2020-05-06,206,,
2020-05-07,195,,
2020-05-08,184,,
2020-05-09,181,,
2020-05-10,169,,
2020-05-11,160,,
2020-05-12,159,,
2020-05-13,150,,
2020-05-14,146,,
2020-05-15,142,,
2020-05-16,137,,
2020-05-17,130,,
2020-05-18,122,,
2020-05-19,120,,
2020-05-20,117,,
2020-05-21,117,,
2020-05-22,102,,
2020-05-23,84,,
2020-05-24,81,,
2020-05-25,78,,
2020-05-26,42,,
2020-05-27,38,,
2020-05-28,34,,
2020-05-29,28,,
2020-05-30,27,,
2020-05-31,23,,
2020-06-01,22,,
2020-06-02,17,,
2020-06-03,17,,
2020-06-04,15,,
2020-06-05,12,,
2020-06-06,10,,
2020-06-07,10,,
2020-06-08,10,,
2020-06-09,6,,
2020-06-10,7,,
2020-06-11,7,,
2020-06-12,6,,
2020-06-13,6,,
2020-06-14,7,,
2020-06-15,7,,
2020-06-16,4,,
2020-06-17,5,,
2020-06-18,9,,
2020-06-19,8,,
2020-06-20,8,,
2020-06-21,9,,
2020-06-22,9,,
2020-06-23,16,,
2020-06-24,18,,
2020-06-25,42,,
2020-06-26,51,,
2020-06-27,54,,
2020-06-28,60,,
2020-06-29,65,,
2020-06-30,75,,
2020-07-01,80,,
2020-07-02,84,,
2020-07-03,88,,
2020-07-04,85,,
2020-07-05,93,,
2020-07-06,90,,
2020-07-07,89,,
2020-07-08,91,,
2020-07-09,100,,
2020-07-10,104,,
2020-07-11,124,,
2020-07-12,132,,
2020-07-13,132,,
2020-07-14,129,,
2020-07-15,132,,
2020-07-16,136,,
2020-07-17,137,,
2020-07-18,139,,
2020-07-19,153,,
2020-07-20,147,,
2020-07-21,138,,
2020-07-22,143,,
2020-07-23,132,,
2020-07-24,139,,
2020-07-25,134,,
2020-07-26,142,,
2020-07-27,138,,
2020-07-28,133,,
2020-07-29,132,,
2020-07-30,130,,
2020-07-31,125,,
2020-08-01,127,,
2020-08-02,131,,
2020-08-03,130,,
2020-08-04,117,,
2020-08-05,111,,
2020-08-06,110,,
2020-08-07,122,,
2020-08-08,120,,
2020-08-09,121,,
2020-08-10,124,,
2020-08-11,115,,
2020-08-12,117,,
2020-08-13,115,,
2020-08-14,106,,
2020-08-15,118,,
2020-08-16,126,,
2020-08-17,126,,
2020-08-18,120,,
2020-08-19,122,,
2020-08-20,127,,
2020-08-21,135,,
2020-08-22,143,,
2020-08-23,155,,
2020-08-24,163,,
2020-08-25,167,,
2020-08-26,174,,
2020-08-27,194,,
2020-08-28,212,,
2020-08-29,211,,
2020-08-30,229,,
2020-08-31,251,,
2020-09-01,258,,
2020-09-02,258,,
2020-09-03,269,,
2020-09-04,283,,
2020-09-05,285,,
2020-09-06,296,,
2020-09-07,307,,
2020-09-08,303,,
2020-09-09,299,,
2020-09-10,320,,
2020-09-11,327,,
2020-09-12,313,,
2020-09-13,309,,
2020-09-14,310,,
2020-09-15,299,,
2020-09-16,293,,
2020-09-17,300,,
2020-09-18,280,,
2020-09-19,288,,
2020-09-20,281,,
2020-09-21,297,,
2020-09-22,278,,
2020-09-23,278,,
2020-09-24,266,,
2020-09-25,273,,
2020-09-26,271,,
2020-09-27,280,,
2020-09-28,291,,
2020-09-29,274,,
2020-09-30,288,,
2020-10-01,297,,
2020-10-02,286,,
2020-10-03,289,,
2020-10-04,296,,
2020-10-05,326,,
2020-10-06,334,,
2020-10-07,344,,
2020-10-08,361,,
2020-10-09,385,,
2020-10-10,382,,
2020-10-11,384,,
2020-10-12,404,,
2020-10-13,424,,
2020-10-14,441,,
2020-10-15,439,,
2020-10-16,505,,
2020-10-17,530,,
2020-10-18,548,,
2020-10-19,571,,
2020-10-20,574,,
2020-10-21,622,,
2020-10-22,661,,
2020-10-23,716,,
2020-10-24,731,,
2020-10-25,825,,
2020-10-26,864,,
2020-10-27,897,,
2020-10-28,932,,
2020-10-29,985,,
2020-10-30,1027,,
2020-10-31,1049,,
2020-11-01,1097,,
2020-11-02,1127,,
2020-11-03,1192,,
2020-11-04,1221,,
2020-11-05,1278,,
2020-11-06,1307,,
