date,hospital,icu,ventilator
2020-03-10,1,0,
2020-03-11,1,0,
2020-03-12,3,0,
2020-03-13,3,0,
2020-03-14,3,0,
2020-03-15,5,0,
2020-03-16,18,2,
2020-03-17,50,4,
2020-03-18,50,5,
2020-03-19,56,6,
2020-03-20,67,15,
2020-03-21,80,14,
2020-03-22,98,18,
2020-03-23,117,22,
2020-03-24,135,26,
2020-03-25,174,36,
2020-03-26,205,38,
2020-03-27,237,48,
2020-03-28,271,57,
2020-03-29,282,53,
2020-03-30,293,66,
2020-03-31,320,72,
2020-04-01,344,75,
2020-04-02,351,78,
2020-04-03,376,88,
2020-04-04,365,85,
2020-04-05,370,82,
2020-04-06,394,88,
2020-04-07,412,100,
2020-04-08,422,94,
2020-04-09,416,96,
2020-04-10,403,89,
2020-04-11,403,87,
2020-04-12,400,100,
2020-04-13,394,93,
2020-04-14,385,83,
2020-04-15,371,77,
2020-04-16,363,83,
2020-04-17,355,81,
2020-04-18,338,75,
2020-04-19,344,81,
2020-04-20,349,78,
2020-04-21,366,79,
2020-04-22,343,75,
2020-04-23,336,78,
2020-04-24,330,75,
2020-04-25,314,71,
2020-04-26,310,72,
2020-04-27,310,68,
2020-04-28,306,68,
2020-04-29,286,64,
2020-04-30,273,60,
2020-05-01,244,55,
2020-05-02,233,50,
2020-05-03,232,50,
2020-05-04,236,55,
2020-05-05,223,47,
2020-05-06,209,44,
2020-05-07,191,41,
2020-05-08,184,44,
2020-05-09,173,39,
2020-05-10,167,40,
2020-05-11,167,42,
2020-05-12,157,40,
2020-05-13,148,39,
2020-05-14,128,35,
2020-05-15,118,35,
2020-05-16,112,34,
2020-05-17,110,35,
2020-05-18,115,33,
2020-05-19,109,32,
2020-05-20,101,32,
2020-05-21,100,30,
2020-05-22,98,25,
2020-05-23,93,23,
2020-05-24,94,22,
2020-05-25,91,20,
2020-05-26,91,16,
2020-05-27,86,17,
2020-05-28,72,15,
2020-05-29,70,15,
2020-05-30,71,12,
2020-05-31,69,12,
2020-06-01,72,13,
2020-06-02,74,11,
2020-06-03,64,10,
2020-06-04,59,9,
2020-06-05,60,9,
2020-06-06,60,9,
2020-06-07,62,10,
2020-06-08,59,9,
2020-06-09,62,9,
2020-06-10,64,11,
2020-06-11,63,12,
2020-06-12,68,11,
2020-06-13,67,12,
2020-06-14,68,10,
2020-06-15,77,9,
2020-06-16,78,8,
2020-06-17,82,8,
2020-06-18,83,10,
2020-06-19,82,8,
2020-06-20,80,9,
2020-06-21,74,9,
2020-06-22,75,9,
2020-06-23,76,9,
2020-06-24,78,13,
2020-06-25,67,12,
2020-06-26,63,10,
2020-06-27,61,11,
2020-06-28,66,14,
2020-06-29,69,11,
2020-06-30,71,11,
2020-07-01,75,10,
2020-07-02,72,11,
2020-07-03,71,11,
2020-07-04,70,13,
2020-07-05,73,13,
2020-07-06,69,10,
2020-07-07,77,11,
2020-07-08,85,10,
2020-07-09,72,15,
2020-07-10,68,15,
2020-07-11,63,14,
2020-07-12,64,15,
2020-07-13,70,19,
2020-07-14,70,17,
2020-07-15,79,17,
2020-07-16,76,21,
2020-07-17,74,20,
2020-07-18,73,19,
2020-07-19,73,19,
2020-07-20,70,18,
2020-07-21,77,22,
2020-07-22,91,21,
2020-07-23,90,20,
2020-07-24,93,16,
2020-07-25,91,15,
