data,hospital,icu,ventilator
2020-03-21,0,0,
2020-03-25,82,22,
2020-03-26,96,24,
2020-03-27,108,32,
2020-03-28,112,31,
2020-03-29,134,41,
2020-03-30,143,49,
2020-03-31,137,56,
2020-04-01,159,62,
2020-04-02,160,65,
2020-04-03,180,72,
2020-04-04,187,73,
2020-04-05,209,76,
2020-04-06,228,81,
2020-04-07,231,83,
2020-04-08,239,82,
2020-04-09,244,82,
2020-04-10,236,81,
2020-04-11,235,80,
2020-04-12,235,77,
2020-04-13,230,74,
2020-04-14,232,75,
2020-04-15,226,75,
2020-04-16,215,76,
2020-04-17,208,73,
2020-04-18,199,70,
2020-04-19,192,68,
2020-04-20,209,67,
2020-04-21,202,63,
2020-04-22,199,63,
2020-04-23,206,60,
2020-04-24,199,61,
2020-04-25,190,60,
2020-04-26,189,62,
2020-04-27,187,56,
2020-04-28,200,56,
2020-04-29,208,51,
2020-04-30,187,48,
2020-05-01,185,49,
2020-05-02,182,52,
2020-05-03,185,49,
2020-05-04,197,49,
2020-05-05,195,48,
2020-05-06,188,44,
2020-05-07,174,44,
2020-05-08,169,45,
2020-05-09,161,45,
2020-05-10,162,45,
2020-05-11,161,44,
2020-05-12,152,34,
2020-05-13,157,35,
2020-05-14,143,33,
2020-05-15,118,32,
2020-05-16,120,30,
2020-05-17,118,29,
2020-05-18,117,34,
2020-05-19,112,25,
2020-05-20,118,20,
2020-05-21,110,22,
2020-05-22,113,21,
2020-05-23,104,21,
2020-05-24,106,19,
2020-05-25,104,18,
2020-05-26,95,11,
2020-05-27,87,11,
2020-05-28,83,11,
2020-05-29,74,10,
2020-05-30,71,11,
2020-05-31,68,10,
2020-06-01,68,9,
2020-06-02,62,9,
2020-06-03,51,7,
2020-06-04,50,7,
2020-06-05,51,8,
2020-06-06,39,7,
2020-06-07,40,6,
2020-06-08,38,6,
2020-06-09,28,4,
2020-06-10,28,4,
2020-06-11,25,4,
2020-06-12,23,3,
2020-06-13,26,2,
2020-06-14,26,1,
2020-06-15,22,3,
2020-06-16,22,2,
2020-06-17,26,2,
2020-06-22,21,2,
2020-06-24,22,2,
2020-06-26,24,1,
2020-06-29,23,0,
2020-07-01,24,0,
2020-07-03,20,0,
2020-07-06,19,1,
2020-07-08,19,2,
2020-07-10,6,0,
2020-07-13,8,1,
2020-07-15,7,0,
2020-07-17,6,1,
2020-07-20,6,1,
2020-07-22,4,0,
2020-07-24,4,0,
2020-07-27,5,0,
2020-07-29,4,0,
2020-07-31,8,0,
2020-08-03,9,0,
2020-08-04,6,1,
2020-08-05,6,0,
2020-08-07,3,0,
2020-08-10,5,1,
2020-08-12,7,1,
2020-08-14,6,0,
2020-08-17,5,0,
2020-08-19,8,0,
2020-08-21,11,0,
2020-08-24,12,1,
2020-08-26,5,1,
2020-08-28,11,1,
2020-08-31,10,1,
2020-09-02,9,2,
2020-09-04,14,1,
2020-09-07,16,1,
2020-09-09,6,1,
2020-09-11,8,1,
2020-09-14,10,3,
2020-09-16,14,3,
2020-09-18,16,3,
2020-09-21,19,2,
2020-09-23,22,4,
2020-09-25,21,2,
2020-09-28,22,4,
2020-09-30,19,4,
2020-10-02,21,4,
2020-10-05,28,8,
2020-10-07,31,5,
2020-10-09,37,5,
2020-10-12,46,10,
2020-10-14,48,8,
2020-10-16,56,6,
2020-10-19,62,7,
2020-10-21,65,7,
2020-10-23,70,11,
2020-10-26,74,10,
2020-10-28,65,10,
2020-10-30,58,10,
2020-11-02,70,13,
2020-11-04,65,15,
2020-11-06,68,13,
