date,hospital,icu,ventilator
2020-01-24,3,0,
2020-01-25,3,0,
2020-01-26,3,0,
2020-01-27,3,0,
2020-01-28,4,0,
2020-01-29,5,0,
2020-01-30,6,0,
2020-01-31,6,0,
2020-02-03,6,0,
2020-02-05,6,0,
2020-02-06,6,0,
2020-02-07,11,0,
2020-02-08,0,0,
2020-02-10,11,0,
2020-02-11,11,0,
2020-02-12,11,0,
2020-02-20,11,0,
2020-02-28,0,0,
2020-03-02,0,0,
2020-03-03,0,0,
2020-03-04,0,0,
2020-03-05,0,0,
2020-03-06,0,0,
2020-03-07,0,0,
2020-03-10,0,0,
2020-03-11,0,0,
2020-03-12,0,0,
2020-03-13,0,0,
2020-03-14,0,0,
2020-03-15,0,0,
2020-03-16,0,0,
2020-03-17,0,0,
2020-03-18,3626,931,
2020-03-19,4461,1122,
2020-03-20,5226,1297,
2020-03-21,6172,1525,
2020-03-22,7240,1746,
2020-03-23,8675,2082,
2020-03-24,10176,2516,
2020-03-25,11539,2827,
2020-03-26,13876,3348,
2020-03-27,15698,3756,
2020-03-28,17565,4233,
2020-03-29,19311,4592,
2020-03-30,20946,5056,
2020-03-31,22672,5496,
2020-04-01,24628,5940,
2020-04-02,26233,6396,
2020-04-03,27418,6659,
2020-04-04,28143,6838,
2020-04-05,28891,6978,
2020-04-06,29569,6948,
2020-04-07,29871,7004,
2020-04-08,30217,7019,
2020-04-09,30767,7066,
2020-04-10,31267,7004,
2020-04-11,31320,6883,
2020-04-12,31826,6845,
2020-04-13,32113,6821,
2020-04-14,32292,6730,
2020-04-15,31779,6457,
2020-04-16,31305,6248,
2020-04-17,31190,6027,
2020-04-18,30639,5833,
2020-04-19,30610,5744,
2020-04-20,30584,5683,
2020-04-21,30106,5433,
2020-04-22,29741,5218,
2020-04-23,29219,5053,
2020-04-24,28658,4870,
2020-04-25,28222,4725,
2020-04-26,28217,4682,
2020-04-27,28055,4608,
2020-04-28,27607,4392,
2020-04-29,26834,4207,
2020-04-30,26283,4019,
2020-05-01,25887,3878,
2020-05-02,25827,3827,
2020-05-03,25815,3819,
2020-05-04,25548,3696,
2020-05-05,24775,3430,
2020-05-06,23983,3147,
2020-05-07,23208,2961,
2020-05-08,22724,2868,
2020-05-09,22614,2812,
2020-05-10,22569,2776,
2020-05-11,22284,2712,
2020-05-12,21595,2542,
2020-05-13,21071,2428,
2020-05-14,20463,2299,
2020-05-15,19861,2203,
2020-05-16,19432,2132,
2020-05-17,19361,2087,
2020-05-18,19015,1998,
2020-05-19,18468,1894,
2020-05-20,17941,1794,
2020-05-21,17583,1745,
2020-05-22,17383,1701,
2020-05-23,17178,1665,
2020-05-24,17185,1655,
2020-05-25,16798,1609,
2020-05-26,16264,1555,
2020-05-27,15680,1501,
2020-05-28,15208,1429,
2020-05-29,14695,1361,
2020-05-30,14380,1325,
2020-05-31,14322,1319,
2020-06-01,14288,1302,
2020-06-02,14028,1253,
2020-06-03,13514,1210,
2020-06-04,13101,1163,
2020-06-05,12696,1094,
2020-06-06,12479,1059,
2020-06-07,12461,1053,
2020-06-08,12315,1024,
2020-06-09,11961,955,
2020-06-10,11678,933,
2020-06-11,11465,903,
2020-06-12,11124,879,
2020-06-13,10909,871,
2020-06-14,10881,869,
2020-06-15,0,0,
2020-06-16,10535,820,
2020-06-17,10267,772,
2020-06-18,10125,752,
2020-06-19,9970,727,
2020-06-20,9837,715,
2020-06-21,9823,715,
2020-06-22,9693,701,
2020-06-23,9491,682,
2020-06-24,9299,658,
2020-06-25,9141,651,
2020-06-26,8886,634,
2020-06-27,8886,634,
2020-06-28,8886,634,
2020-06-29,8688,619,
2020-06-30,8536,602,
2020-07-01,8291,554,
2020-07-02,8148,573,
2020-07-03,7990,560,
2020-07-06,7850,521,
2020-07-07,7594,538,
2020-07-08,7297,529,
2020-07-09,7177,512,
2020-07-10,7062,496,
2020-07-13,6983,467,
2020-07-15,6915,457,
2020-07-16,6796,481,
2020-07-17,6688,477,
2020-07-20,6589,442,
2020-07-21,6482,455,
2020-07-22,6366,445,
2020-07-23,5957,436,
2020-07-24,5720,410,
2020-07-27,5655,374,
2020-07-28,5551,385,
2020-07-29,5450,380,
2020-07-31,5298,347,
2020-08-01,5177,344,
2020-08-02,5188,345,
2020-08-03,5198,384,
2020-08-04,5162,388,
2020-08-05,5148,384,
2020-08-06,5060,390,
2020-08-07,5011,383,
2020-08-08,4981,366,
2020-08-09,4992,368,
2020-08-10,5045,396,
2020-08-11,5012,391,
2020-08-12,4891,379,
2020-08-14,4828,344,
2020-08-15,4817,353,
2020-08-16,4820,353,
2020-08-17,4925,384,
2020-08-19,4781,362,
2020-08-20,4748,380,
2020-08-21,4745,379,
2020-08-22,4711,380,
2020-08-23,4683,371,
2020-08-24,4690,399,
2020-08-25,4600,410,
2020-08-27,4535,381,
2020-08-28,4535,387,
2020-08-29,4530,400,
2020-08-30,4535,402,
2020-08-31,4582,409,
