date, hospital, icu, ventilator
2020-02-26,,,0
2020-02-27,,,0
2020-02-28,,,0
2020-02-29,,,0
2020-03-01,,,0
2020-03-02,,,0
2020-03-03,,,0
2020-03-04,,,1
2020-03-05,,,1
2020-03-06,,,2
2020-03-07,,,2
2020-03-08,,,2
2020-03-09,,,3
2020-03-10,,,4
2020-03-11,,,6
2020-03-12,,,6
2020-03-13,,,9
2020-03-14,,,9
2020-03-15,,,11
2020-03-16,,,16
2020-03-17,,,18
2020-03-18,,,24
2020-03-19,,,29
2020-03-20,,,33
2020-03-21,,,36
2020-03-22,,,45
2020-03-23,,,49
2020-03-24,,,54
2020-03-25,,,59
2020-03-26,,,61
2020-03-27,,,70
2020-03-28,,,71
2020-03-29,,,69
2020-03-30,,,72
2020-03-31,,,85
2020-04-01,,,90
2020-04-02,,,91
2020-04-03,,,92
2020-04-04,,,92
2020-04-05,,,93
2020-04-06,,,90
2020-04-07,,,90
2020-04-08,,,84
2020-04-09,,,79
2020-04-10,,,77
2020-04-11,,,75
2020-04-12,,,76
2020-04-13,,,73
2020-04-14,,,76
2020-04-15,,,72
2020-04-16,,,69
2020-04-17,,,71
2020-04-18,,,67
2020-04-19,,,None
2020-04-20,,,61
2020-04-21,,,59
2020-04-22,,,55
2020-04-23,,,52
2020-04-24,,,48
2020-04-25,,,47
2020-04-26,,,46
2020-04-27,,,43
2020-04-28,,,40
2020-04-29,,,41
2020-04-30,,,38
2020-05-01,,,36
2020-05-02,,,37
2020-05-03,,,37
2020-05-04,,,35
2020-05-05,,,35
2020-05-06,,,36
2020-05-07,,,33
2020-05-08,,,32
2020-05-09,,,28
2020-05-10,,,30
2020-05-11,,,32
2020-05-12,,,32
2020-05-13,,,28
2020-05-14,,,24
2020-05-15,,,23
2020-05-16,,,23
2020-05-17,,,22
2020-05-18,,,24
2020-05-19,,,22
2020-05-20,,,22
2020-05-21,,,21
2020-05-22,,,19
2020-05-23,,,20
2020-05-24,,,19
2020-05-25,,,18
2020-05-26,,,18
2020-05-27,,,17
2020-05-28,,,16
2020-05-29,,,16
2020-05-30,,,14
2020-05-31,,,13
2020-06-01,,,12
2020-06-02,,,11
2020-06-03,,,9
2020-06-04,,,9
2020-06-05,,,10
2020-06-06,,,10
2020-06-07,,,10
2020-06-08,,,10
2020-06-09,,,10
2020-06-10,,,12
2020-06-11,,,14
2020-06-12,,,14
2020-06-13,,,13
2020-06-14,,,13
2020-06-15,,,13
2020-06-16,,,12
2020-06-17,,,11
2020-06-18,,,10
2020-06-19,,,10
2020-06-20,,,9
2020-06-21,,,9
2020-06-22,,,8
2020-06-23,,,8
2020-06-24,,,8
2020-06-25,,,9
2020-06-26,,,11
2020-06-27,,,11
2020-06-28,,,10
2020-06-29,,,10
2020-06-30,,,9
2020-07-01,,,9
2020-07-02,,,8
2020-07-03,,,8
2020-07-04,,,11
2020-07-05,,,11
2020-07-06,,,11
2020-07-07,,,10
2020-07-08,,,9
2020-07-09,,,9
2020-07-10,,,9
2020-07-11,,,9
2020-07-12,,,10
2020-07-13,,,12
2020-07-14,,,13
2020-07-15,,,13
2020-07-16,,,14
2020-07-17,,,12
2020-07-18,,,12
2020-07-19,,,13
2020-07-20,,,12
2020-07-21,,,10
2020-07-22,,,10
2020-07-23,,,8
2020-07-24,,,8
2020-07-25,,,10
2020-07-26,,,9
2020-07-27,,,9
2020-07-28,,,8
2020-07-29,,,8
2020-07-30,,,7
2020-07-31,,,9
2020-08-01,,,10
2020-08-02,,,12
2020-08-03,,,13
2020-08-04,,,13
2020-08-05,,,13
2020-08-06,,,14
2020-08-07,,,14
2020-08-08,,,17
2020-08-09,,,22
2020-08-10,,,24
2020-08-11,,,26
2020-08-12,,,24
2020-08-13,,,22
2020-08-14,,,22
2020-08-15,,,23
2020-08-16,,,24
2020-08-17,,,23
2020-08-18,,,25
2020-08-19,,,28
2020-08-20,,,30
2020-08-21,,,28
2020-08-22,,,31
2020-08-23,,,31
2020-08-24,,,31
2020-08-25,,,31
2020-08-26,,,33
2020-08-27,,,35
2020-08-28,,,35
2020-08-29,,,36
2020-08-30,,,35
2020-08-31,,,36
2020-09-01,,,38
2020-09-02,,,38
2020-09-03,,,39
2020-09-04,,,38
2020-09-05,,,40
2020-09-06,,,41
2020-09-07,,,42
2020-09-08,,,42
2020-09-09,,,46
2020-09-10,,,49
2020-09-11,,,52
2020-09-12,,,53
2020-09-13,,,54
2020-09-14,,,59
2020-09-15,,,67
2020-09-16,,,67
2020-09-17,,,69
2020-09-18,,,71
2020-09-19,,,65
2020-09-20,,,78
2020-09-21,,,79
2020-09-22,,,77
2020-09-23,,,73
2020-09-24,,,68
2020-09-25,,,63
2020-09-26,,,68
2020-09-27,,,68
2020-09-28,,,73
2020-09-29,,,79
2020-09-30,,,78
2020-10-01,,,89
2020-10-02,,,85
2020-10-03,,,79
2020-10-04,,,82
2020-10-05,,,83
2020-10-06,,,87
2020-10-07,,,88
2020-10-08,,,91
2020-10-09,,,98
2020-10-10,,,100
2020-10-11,,,93
2020-10-12,,,91
2020-10-13,,,89
2020-10-14,,,86
2020-10-15,,,82
