date,hospital,icu,ventilator
2020-03-04,0,0,
2020-03-05,0,0,
2020-03-06,0,0,
2020-03-07,0,0,
2020-03-08,0,0,
2020-03-09,0,0,
2020-03-10,0,0,
2020-03-11,0,0,
2020-03-12,0,0,
2020-03-13,0,0,
2020-03-14,0,0,
2020-03-15,0,0,
2020-03-16,0,0,
2020-03-17,0,0,
2020-03-18,0,0,
2020-03-19,0,0,
2020-03-20,0,0,
2020-03-21,0,0,
2020-03-22,0,0,
2020-03-23,0,0,
2020-03-24,0,0,
2020-03-25,0,0,
2020-03-26,0,0,
2020-03-27,0,0,
2020-03-28,0,0,
2020-03-29,0,0,
2020-03-30,0,0,
2020-03-31,0,0,
2020-04-01,0,0,
2020-04-02,0,0,
2020-04-03,0,0,
2020-04-04,0,0,
2020-04-05,0,0,
2020-04-06,0,0,
2020-04-07,0,0,
2020-04-08,0,0,
2020-04-09,0,0,
2020-04-10,0,0,
2020-04-11,0,0,
2020-04-12,0,0,
2020-04-13,0,0,
2020-04-14,0,0,
2020-04-15,0,0,
2020-04-16,0,0,
2020-04-17,0,0,
2020-04-18,0,0,
2020-04-19,0,0,
2020-04-20,0,0,
2020-04-21,0,0,
2020-04-22,0,0,
2020-04-23,0,0,
2020-04-24,0,0,
2020-04-25,0,0,
2020-04-26,0,0,
2020-04-27,0,0,
2020-04-28,0,0,
2020-04-29,0,0,
2020-04-30,0,0,
2020-05-01,0,0,
2020-05-02,0,0,
2020-05-03,0,0,
2020-05-04,0,0,
2020-05-05,0,0,
2020-05-06,0,0,
2020-05-07,0,0,
2020-05-08,0,0,
2020-05-09,0,0,
2020-05-10,0,0,
2020-05-11,0,0,
2020-05-12,0,0,
2020-05-13,688,45,
2020-05-14,658,49,
2020-05-15,614,46,
2020-05-16,570,45,
2020-05-17,562,47,
2020-05-18,568,47,
2020-05-19,0,0,
2020-05-20,539,29,
2020-05-21,510,27,
2020-05-22,483,23,
2020-05-23,462,21,
2020-05-24,442,28,
2020-05-25,0,30,
2020-05-26,436,27,
2020-05-27,430,25,
2020-05-28,404,24,
2020-05-29,384,24,
2020-05-30,414,22,
2020-05-31,419,25,
2020-06-01,417,25,
2020-06-02,427,24,
2020-06-03,414,24,
2020-06-04,406,24,
2020-06-05,397,21,
2020-06-06,387,21,
2020-06-07,386,21,
2020-06-08,385,21,
2020-06-09,365,20,
2020-06-10,344,20,
2020-06-11,321,19,
2020-06-12,290,20,
2020-06-13,283,20,
2020-06-14,275,20,
2020-06-15,275,19,
2020-06-16,255,17,
2020-06-17,210,16,
2020-06-18,199,15,
2020-06-19,192,15,
2020-06-20,186,15,
2020-06-21,185,15,
2020-06-23,183,14,
2020-06-24,183,13,
2020-06-25,182,13,
2020-06-26,179,13,
2020-06-27,174,11,
2020-06-28,172,9,
2020-06-29,170,9,
2020-06-30,169,9,
2020-07-01,169,8,
2020-07-02,157,8,
2020-07-03,150,9,
2020-07-04,140,8,
2020-07-05,144,8,
2020-07-06,144,8,
2020-07-07,142,7,
2020-07-08,132,6,
2020-07-09,131,6,
2020-07-10,133,6,
2020-07-11,129,5,
2020-07-12,128,5,
2020-07-13,127,5,
2020-07-14,131,5,
2020-07-15,125,5,
2020-07-16,109,5,
2020-07-17,83,4,
2020-07-18,83,3,
2020-07-19,82,3,
2020-07-20,83,5,
2020-07-21,78,4,
2020-07-22,76,4,
2020-07-23,76,4,
2020-07-24,70,4,
2020-07-25,68,5,
2020-07-26,69,6,
2020-07-27,71,6,
2020-07-28,76,6,
2020-07-29,76,6,
2020-07-30,76,6,
2020-07-31,73,6,
2020-08-01,73,6,
2020-08-02,71,7,
2020-08-03,74,7,
2020-08-04,75,7,
2020-08-05,72,7,
2020-08-06,74,8,
2020-08-07,72,6,
2020-08-08,69,6,
2020-08-09,73,6,
