date,hospital,icu,ventilator
2020-02-20,,,
2020-02-21,,,
2020-02-22,,,
2020-02-23,,,
2020-02-24,127,26,
2020-02-25,,,
2020-02-26,164,36,
2020-02-27,304,56,
2020-02-28,409,64,
2020-02-29,506,105,
2020-03-01,779,140,
2020-03-02,908,166,
2020-03-03,1263,229,
2020-03-04,1641,295,
2020-03-05,2141,351,
2020-03-06,2856,462,
2020-03-07,3218,567,
2020-03-08,4207,650,
2020-03-09,5049,733,
2020-03-10,5915,877,
2020-03-11,6866,1028,
2020-03-12,7803,1153,
2020-03-13,8754,1328,
2020-03-14,9890,1518,
2020-03-15,11335,1672,
2020-03-16,12876,1851,
2020-03-17,14954,2060,
2020-03-18,16620,2257,
2020-03-19,18255,2498,
2020-03-20,18675,2655,
2020-03-21,20565,2857,
2020-03-22,22855,3009,
2020-03-23,23896,3204,
2020-03-24,25333,3396,
2020-03-25,26601,3489,
2020-03-26,28365,3612,
2020-03-27,29761,3732,
2020-03-28,30532,3856,
2020-03-29,31292,3906,
2020-03-30,31776,3981,
2020-03-31,32215,4023,
2020-04-01,32438,4035,
2020-04-02,32593,4053,
2020-04-03,32809,4068,
2020-04-04,33004,3994,
2020-04-05,32926,3977,
2020-04-06,32874,3898,
2020-04-07,32510,3792,
2020-04-08,32178,3693,
2020-04-09,32004,3605,
2020-04-10,31739,3497,
2020-04-11,31525,3381,
2020-04-12,31190,3343,
2020-04-13,31283,3260,
2020-04-14,31197,3186,
2020-04-15,30722,3079,
2020-04-16,29829,2936,
2020-04-17,28598,2812,
2020-04-18,27740,2733,
2020-04-19,27668,2635,
2020-04-20,27479,2573,
2020-04-21,26605,2471,
2020-04-22,26189,2384,
2020-04-23,25138,2267,
2020-04-24,24241,2173,
2020-04-25,23635,2102,
2020-04-26,23381,2009,
2020-04-27,22309,1956,
2020-04-28,21586,1863,
2020-04-29,21005,1795,
2020-04-30,19843,1694,
2020-05-01,19147,1578,
2020-05-02,18896,1539,
2020-05-03,18743,1501,
2020-05-04,18302,1479,
2020-05-05,17697,1427,
2020-05-06,17102,1333,
2020-05-07,16485,1311,
2020-05-08,15804,1168,
2020-05-09,14868,1034,
2020-05-10,14645,1027,
2020-05-11,14538,999,
2020-05-12,13817,952,
2020-05-13,13065,893,
2020-05-14,12308,855,
2020-05-15,11600,808,
2020-05-16,11175,775,
2020-05-17,11073,762,
2020-05-18,10956,749,
2020-05-19,10707,716,
2020-05-20,10300,676,
2020-05-21,9909,640,
2020-05-22,9552,595,
2020-05-23,9267,572,
2020-05-24,9166,553,
2020-05-25,8726,541,
2020-05-26,8438,521,
2020-05-27,8234,505,
2020-05-28,7868,489,
2020-05-29,7569,475,
2020-05-30,7130,450,
2020-05-31,6822,435,
2020-06-01,6523,424,
2020-06-02,6324,408,
2020-06-03,6095,353,
2020-06-04,5841,338,
2020-06-05,5617,316,
2020-06-06,5295,293,
2020-06-07,5151,287,
2020-06-08,5012,283,
2020-06-09,4844,263,
2020-06-10,4569,249,
2020-06-11,4367,236,
2020-06-12,4120,227,
