date,hospital,icu,ventilator
2020/2/4,15,,
2020/2/5,16,0,
2020/2/6,12,0,
2020/2/7,12,0,
2020/2/8,7,0,
2020/2/9,7,0,
2020/2/10,7,0,
2020/2/11,6,0,
2020/2/12,6,0,
2020/2/13,6,0,
2020/2/14,9,2,
2020/2/15,24,3,
2020/2/16,24,3,
2020/2/17,24,3,
2020/2/18,31,6,
2020/2/19,35,7,
2020/2/20,52,9,
2020/2/21,62,10,
2020/2/22,96,11,
2020/2/23,108,13,
2020/2/24,121,14,
2020/2/25,125,15,
2020/2/26,138,16,
2020/2/27,161,20,
2020/2/28,176,22,
2020/2/29,188,23,
2020/3/1,201,23,
2020/3/2,212,24,
2020/3/3,226,24,
2020/3/4,258,27,
2020/3/5,271,30,
2020/3/6,323,28,
2020/3/7,366,33,
2020/3/8,377,33,
2020/3/9,400,31,
2020/3/10,437,26,
2020/3/11,481,29,
2020/3/12,520,32,
2020/3/13,548,35,
2020/3/14,591,36,
2020/3/15,603,41,
2020/3/16,621,46,
2020/3/17,645,46,
2020/3/18,659,49,
2020/3/19,681,50,
2020/3/20,723,55,
2020/3/21,719,57,
2020/3/22,743,54,
2020/3/23,763,55,
2020/3/24,816,57,
2020/3/25,855,56,
2020/3/26,920,57,
2020/3/27,948,60,
2020/3/28,1187,59,
2020/3/29,1358,59,
2020/3/30,1423,59,
2020/3/31,1594,60,
2020/4/1,1757,62,
2020/4/2,1980,64,
2020/4/3,2227,69,
2020/4/4,2553,70,
2020/4/5,2921,79,
2020/4/6,3132,80,
2020/4/7,3472,99,
2020/4/8,3914,109,
2020/4/9,4461,117,
2020/4/10,5063,122,
2020/4/11,5751,129,
2020/4/12,6239,135,
2020/4/13,6564,152,
2020/4/14,6961,168,
2020/4/15,7388,193,
2020/4/16,7884,207,
2020/4/17,8448,211,
2020/4/18,8916,217,
2020/4/19,9215,231,
2020/4/20,9449,232,
2020/4/21,9740,241,
2020/4/22,10082,259,
2020/4/23,10469,263,
2020/4/24,10801,287,
2020/4/25,11046,296,
2020/4/26,11175,300,
2020/4/27,11252,305,
2020/4/28,11427,306,
2020/4/29,11585,308,
2020/4/30,11424,328,
2020/5/1,11558,324,
2020/5/2,11724,321,
2020/5/3,11823,308,
2020/5/4,11935,309,
2020/5/5,11731,308,
2020/5/6,11638,300,
2020/5/7,11286,287,
2020/5/8,6302,266,
2020/5/9,6250,267,
2020/5/10,6074,249,
2020/5/11,5914,243,
2020/5/12,5162,259,
2020/5/13,4732,245,
2020/5/14,4339,237,
2020/5/15,4025,232,
2020/5/16,3787,230,
2020/5/17,3667,228,
2020/5/18,3400,213,
2020/5/19,3009,210,
2020/5/20,2761,195,
2020/5/21,2495,176,
2020/5/22,2293,174,
2020/5/23,2130,168,
2020/5/24,2111,165,
2020/5/25,1939,155,
2020/5/26,1788,147,
2020/5/27,1637,136,
2020/5/28,1556,131,
2020/5/29,1466,123,
2020/5/30,1452,119,
2020/5/31,1436,115,
2020/6/1,1341,113,
2020/6/2,1270,101,
2020/6/3,1207,102,
2020/6/4,1141,98,
2020/6/5,1064,99,
2020/6/6,1042,98,
2020/6/7,1060,99,
2020/6/8,1028,92,
2020/6/9,965,91,
2020/6/10,923,88,
2020/6/11,854,82,
2020/6/12,810,76,
2020/6/13,801,73,
2020/6/14,819,71,
2020/6/15,871,80,
2020/6/16,760,70,
2020/6/17,712,62,
2020/6/18,707,62,
2020/6/19,677,61,
2020/6/20,711,59,
2020/6/21,732,59,
2020/6/22,706,62,
2020/6/23,698,60,
2020/6/24,713,58,
2020/6/25,727,51,
2020/6/26,757,48,
2020/6/27,790,45,
2020/6/28,822,43,
2020/6/29,869,42,
2020/6/30,897,40,
2020/7/1,1006,37,
2020/7/2,1105,33,
2020/7/3,1224,32,
2020/7/4,1386,33,
2020/7/5,1550,34,
2020/7/6,1671,36,
2020/7/7,1721,35,
2020/7/8,1776,38,
2020/7/9,1929,31,
2020/7/10,2139,33,
2020/7/11,2339,32,
2020/7/12,2587,34,
2020/7/13,2754,40,
2020/7/14,2789,38,
2020/7/15,2885,37,
2020/7/16,3191,39,
2020/7/17,3560,41,
2020/7/18,3865,43,
2020/7/19,4113,47,
2020/7/20,4345,52,
2020/7/21,4421,55,
2020/7/22,4751,59,
2020/7/23,5369,68,
2020/7/24,5949,64,
2020/7/25,6315,66,
2020/7/26,6573,67,
2020/7/27,6828,76,
2020/7/28,7063,81,
2020/7/29,7508,90,
2020/7/30,8062,87,
2020/7/31,8945,80,
2020/8/1,9427,83,
2020/8/2,10422,87,
2020/8/3,10963,88,
2020/8/4,11665,104,
2020/8/5,11910,115,
2020/8/6,12159,131,
2020/8/7,12539,140,
2020/8/8,13011,156,
2020/8/9,13633,162,
2020/8/10,13724,171,
2020/8/11,13610,177,
2020/8/12,13286,203,
2020/8/13,13039,211,
2020/8/14,12976,229,
2020/8/15,13072,232,
2020/8/16,13008,243,
2020/8/17,12767,243,
2020/8/18,12084,239,
2020/8/19,11686,237,
2020/8/20,11709,243,
2020/8/21,11597,243,
2020/8/22,11732,254,
2020/8/23,11718,259,
2020/8/24,11211,252,
2020/8/25,10647,246,
