date,hospital,icu,ventilator
2020-03-30,28,,
2020-03-31,27,,
2020-04-01,28,,
2020-04-02,29,,
2020-04-03,31,,
2020-04-04,29,,
2020-04-05,36,,
2020-04-06,44,,
2020-04-07,41,,
2020-04-08,39,,
2020-04-09,38,,
2020-04-10,35,,
2020-04-11,36,,
2020-04-12,43,,
2020-04-13,44,,
2020-04-14,46,,
2020-04-15,46,,
2020-04-16,45,,
2020-04-17,42,,
2020-04-18,37,,
2020-04-19,44,,
2020-04-20,45,,
2020-04-21,43,,
2020-04-22,42,,
2020-04-23,40,,
2020-04-24,40,,
2020-04-25,39,,
2020-04-26,39,,
2020-04-27,41,,
2020-04-28,45,,
2020-04-29,42,,
2020-04-30,42,,
2020-05-01,34,,
2020-05-02,34,,
2020-05-03,33,,
2020-05-04,34,,
2020-05-05,33,,
2020-05-06,30,,
2020-05-07,29,,
2020-05-08,30,,
2020-05-09,29,,
2020-05-10,30,,
2020-05-11,30,,
2020-05-12,30,,
2020-05-13,31,,
2020-05-14,27,,
2020-05-15,28,,
2020-05-16,25,,
2020-05-17,24,,
2020-05-18,28,,
2020-05-19,27,,
2020-05-20,27,,
2020-05-21,24,,
2020-05-22,25,,
2020-05-23,24,,
2020-05-24,25,,
2020-05-25,27,,
2020-05-26,25,,
2020-05-27,25,,
2020-05-28,23,,
2020-05-29,22,,
2020-05-30,18,,
2020-05-31,18,,
2020-06-01,18,,
2020-06-02,14,,
2020-06-03,11,,
2020-06-04,10,,
2020-06-05,10,,
2020-06-06,11,,
2020-06-07,11,,
2020-06-08,11,,
2020-06-09,12,,
2020-06-10,11,,
2020-06-11,11,,
2020-06-12,10,,
2020-06-13,7,,
2020-06-14,7,,
2020-06-15,7,,
2020-06-16,8,,
2020-06-17,6,,
2020-06-18,6,,
2020-06-19,7,,
2020-06-20,9,,
2020-06-21,9,,
2020-06-22,9,,
2020-06-23,9,,
2020-06-24,8,,
2020-06-25,8,,
2020-06-26,8,,
2020-06-27,7,,
2020-06-28,7,,
2020-06-29,7,,
2020-06-30,7,,
2020-07-01,5,,
2020-07-02,4,,
2020-07-03,4,,
2020-07-04,5,,
2020-07-05,5,,
2020-07-06,5,,
2020-07-07,5,,
2020-07-08,5,,
2020-07-09,4,,
2020-07-10,3,,
2020-07-11,3,,
2020-07-12,3,,
2020-07-13,4,,
2020-07-14,3,,
2020-07-15,3,,
2020-07-16,3,,
2020-07-17,2,,
2020-07-18,3,,
2020-07-19,3,,
2020-07-20,3,,
2020-07-21,2,,
2020-07-22,2,,
2020-07-23,2,,
2020-07-24,3,,
2020-07-25,3,,
2020-07-26,2,,
2020-07-27,2,,
2020-07-28,2,,
2020-07-29,3,,
2020-07-30,5,,
2020-07-31,4,,
2020-08-01,4,,
2020-08-02,4,,
2020-08-03,6,,
2020-08-04,6,,
2020-08-05,6,,
2020-08-06,6,,
2020-08-07,5,,
2020-08-08,7,,
2020-08-09,7,,
2020-08-10,8,,
2020-08-11,6,,
2020-08-12,6,,
2020-08-13,3,,
2020-08-14,3,,
2020-08-15,4,,
2020-08-16,4,,
2020-08-17,5,,
2020-08-18,5,,
2020-08-19,4,,
2020-08-20,2,,
2020-08-21,3,,
2020-08-22,3,,
2020-08-23,4,,
2020-08-24,5,,
2020-08-25,4,,
2020-08-26,3,,
2020-08-27,5,,
2020-08-28,4,,
2020-08-29,4,,
2020-08-30,4,,
2020-08-31,5,,
2020-09-01,5,,
2020-09-02,5,,
2020-09-03,7,,
2020-09-04,6,,
2020-09-05,7,,
2020-09-06,7,,
2020-09-07,9,,
2020-09-08,9,,
2020-09-09,9,,
2020-09-10,9,,
2020-09-11,10,,
2020-09-12,9,,
2020-09-13,10,,
2020-09-14,11,,
2020-09-15,10,,
2020-09-16,7,,
2020-09-17,7,,
2020-09-18,7,,
2020-09-19,8,,
2020-09-20,12,,
2020-09-21,12,,
2020-09-22,10,,
2020-09-23,9,,
2020-09-24,7,,
2020-09-25,9,,
2020-09-26,5,,
2020-09-27,7,,
2020-09-28,11,,
2020-09-29,16,,
2020-09-30,19,,
2020-10-01,21,,
2020-10-02,22,,
2020-10-03,24,,
2020-10-04,26,,
2020-10-05,28,,
2020-10-06,32,,
2020-10-07,34,,
2020-10-08,42,,
2020-10-09,47,,
2020-10-10,52,,
2020-10-11,61,,
2020-10-12,65,,
2020-10-13,70,,
2020-10-14,75,,
2020-10-15,70,,
2020-10-16,63,,
2020-10-17,69,,
2020-10-18,72,,
2020-10-19,80,,
2020-10-20,83,,
2020-10-21,79,,
2020-10-22,105,,
2020-10-23,113,,
2020-10-24,127,,
2020-10-25,146,,
2020-10-26,158,,
2020-10-27,171,,
2020-10-28,182,,
2020-10-29,197,,
2020-10-30,195,,
2020-10-31,200,,
2020-11-01,223,,
2020-11-02,237,,
2020-11-03,249,,
2020-11-04,240,,
2020-11-05,244,,
2020-11-06,258,,
2020-11-07,242,,
2020-11-08,263,,
