date,hospital,icu,ventilator
2020-03-16,0,0,
2020-03-17,0,0,
2020-03-18,0,0,
2020-03-19,1,0,
2020-03-20,18,3,
2020-03-21,56,6,
2020-03-22,63,2,
2020-03-23,71,2,
2020-03-24,97,2,
2020-03-25,128,14,
2020-03-26,120,20,
2020-03-27,128,20,
2020-03-28,152,23,
2020-03-29,160,21,
2020-03-30,150,24,
2020-03-31,153,26,
2020-04-01,154,27,
2020-04-02,171,30,
2020-04-03,167,35,
2020-04-04,173,33,
2020-04-05,160,33,
2020-04-06,160,31,
2020-04-07,159,31,
2020-04-08,168,33,
2020-04-09,163,29,
2020-04-10,165,28,
2020-04-11,150,30,
2020-04-12,161,31,
2020-04-13,139,33,
2020-04-14,140,34,
2020-04-15,124,35,
2020-04-16,138,32,
2020-04-17,124,30,
2020-04-18,136,31,
2020-04-19,132,30,
2020-04-20,130,31,
2020-04-21,126,31,
2020-04-22,125,28,
2020-04-23,112,24,
2020-04-24,109,25,
2020-04-25,98,23,
2020-04-26,100,20,
2020-04-27,89,20,
2020-04-28,92,22,
2020-04-29,78,24,
2020-04-30,67,24,
2020-05-01,79,25,
2020-05-02,74,24,
2020-05-03,73,23,
2020-05-04,71,22,
2020-05-05,81,20,
2020-05-06,75,21,
2020-05-07,67,16,
2020-05-08,75,15,
2020-05-09,68,14,
2020-05-10,59,18,
2020-05-11,56,22,
2020-05-12,57,22,
2020-05-13,59,11,
2020-05-14,63,11,
2020-05-15,50,15,
2020-05-16,42,13,
2020-05-17,38,8,
2020-05-18,42,10,
2020-05-19,43,6,
2020-05-20,48,6,
2020-05-21,36,5,
2020-05-22,37,8,
2020-05-23,27,7,
2020-05-24,28,4,
2020-05-25,30,5,
2020-05-26,38,4,
2020-05-27,29,4,
2020-05-28,25,4,
2020-05-29,25,3,
2020-05-30,23,3,
2020-05-31,24,3,
2020-06-01,21,4,
2020-06-02,20,2,
2020-06-03,18,3,
2020-06-04,18,1,
2020-06-05,18,1,
2020-06-06,12,1,
2020-06-07,16,2,
2020-06-08,18,2,
2020-06-09,16,1,
2020-06-10,16,1,
2020-06-11,15,0,
2020-06-12,16,0,
2020-06-13,12,1,
2020-06-14,10,1,
2020-06-15,13,2,
2020-06-16,14,1,
2020-06-17,10,2,
2020-06-18,12,2,
2020-06-19,11,1,
2020-06-20,12,1,
2020-06-21,14,2,
2020-06-22,14,1,
2020-06-23,11,0,
2020-06-24,13,0,
2020-06-25,12,1,
2020-06-26,8,1,
2020-06-27,12,1,
2020-06-28,9,2,
2020-06-29,14,2,
2020-06-30,16,2,
2020-07-01,14,2,
2020-07-02,19,3,
2020-07-03,14,3,
2020-07-04,21,3,
2020-07-05,17,3,
2020-07-06,19,3,
2020-07-07,23,1,
2020-07-08,24,2,
2020-07-09,24,3,
2020-07-10,29,2,
2020-07-11,33,3,
2020-07-12,34,4,
2020-07-13,44,3,
2020-07-14,34,4,
2020-07-15,37,5,
2020-07-16,36,4,
2020-07-17,36,6,
2020-07-18,42,6,
2020-07-19,47,7,
2020-07-20,50,5,
2020-07-21,55,5,
2020-07-22,57,1,
2020-07-23,49,3,
2020-07-24,44,4,
2020-07-25,50,4,
2020-07-26,55,6,
2020-07-27,50,5,
2020-07-28,55,4,
2020-07-29,57,6,
2020-07-30,48,7,
2020-07-31,47,6,
2020-08-01,51,6,
2020-08-02,54,7,
2020-08-03,52,7,
2020-08-04,42,5,
2020-08-05,42,9,
2020-08-06,42,6,
2020-08-07,41,8,
2020-08-08,39,8,
2020-08-09,35,6,
2020-08-10,41,4,
2020-08-11,41,3,
2020-08-12,37,1,
2020-08-13,35,3,
2020-08-14,40,4,
2020-08-15,29,3,
2020-08-16,34,3,
2020-08-17,28,4,
2020-08-18,30,3,
2020-08-19,31,3,
2020-08-20,37,3,
2020-08-21,26,1,
2020-08-22,31,1,
2020-08-23,30,1,
2020-08-24,31,1,
2020-08-25,31,2,
2020-08-26,25,2,
2020-08-27,28,2,
2020-08-28,21,4,
2020-08-29,20,3,
2020-08-30,25,2,
2020-08-31,26,2,
2020-09-01,15,1,
2020-09-02,14,2,
2020-09-03,11,0,
2020-09-04,10,0,
2020-09-05,10,0,
2020-09-06,15,0,
2020-09-07,20,0,
2020-09-08,23,0,
2020-09-09,21,0,
2020-09-10,20,1,
2020-09-11,17,0,
2020-09-12,18,0,
2020-09-13,15,1,
2020-09-14,19,0,
2020-09-15,22,0,
2020-09-16,23,0,
2020-09-17,17,1,
2020-09-18,16,0,
2020-09-19,20,2,
2020-09-20,20,1,
2020-09-21,19,1,
2020-09-22,22,1,
2020-09-23,23,3,
2020-09-24,18,1,
2020-09-25,24,1,
2020-09-26,27,3,
2020-09-27,33,3,
2020-09-28,30,4,
2020-09-29,25,5,
2020-09-30,25,5,
2020-10-01,17,3,
2020-10-02,17,3,
2020-10-03,19,2,
2020-10-04,19,2,
2020-10-05,21,1,
2020-10-06,19,2,
2020-10-07,20,2,
2020-10-08,23,1,
2020-10-09,33,1,
2020-10-10,32,2,
2020-10-11,34,2,
2020-10-12,38,2,
2020-10-13,43,3,
2020-10-14,40,4,
2020-10-15,37,4,
2020-10-16,45,4,
2020-10-17,50,3,
2020-10-18,53,4,
2020-10-19,56,5,
2020-10-20,61,7,
2020-10-21,61,8,
2020-10-22,76,10,
2020-10-23,77,11,
2020-10-24,91,12,
2020-10-25,102,12,
2020-10-26,98,16,
2020-10-27,116,16,
2020-10-28,119,21,
2020-10-29,126,24,
2020-10-30,143,26,
2020-10-31,141,27,
2020-11-01,150,29,
2020-11-02,174,29,
2020-11-03,194,30,
2020-11-04,179,36,
2020-11-05,171,37,
2020-11-06,167,41,
2020-11-07,168,36,
2020-11-08,158,40,
2020-11-09,165,42,
2020-11-10,181,38,
2020-11-11,176,39,
2020-11-12,180,41,
