date,hospital,icu,ventilator
2020-03-08,0,,
2020-03-09,2,,
2020-03-10,8,,
2020-03-11,13,,
2020-03-12,23,,
2020-03-13,27,,
2020-03-14,35,,
2020-03-15,41,,
2020-03-16,50,,
2020-03-17,68,,
2020-03-18,82,,
2020-03-19,102,,
2020-03-20,130,,
2020-03-21,148,,
2020-03-22,169,,
2020-03-23,193,,
2020-03-24,212,,
2020-03-25,237,,
2020-03-26,266,,
2020-03-27,303,,
2020-03-28,291,,
2020-03-29,317,,
2020-03-30,321,,
2020-03-31,317,,
2020-04-01,325,,
2020-04-02,318,,
2020-04-03,318,,
2020-04-04,306,,
2020-04-05,310,,
2020-04-06,314,,
2020-04-07,277,,
2020-04-08,250,,
2020-04-09,252,,
2020-04-10,234,,
2020-04-11,214,,
2020-04-12,214,,
2020-04-13,204,,
2020-04-14,201,,
2020-04-15,190,,
2020-04-16,175,,
2020-04-17,165,,
2020-04-18,148,,
2020-04-19,153,,
2020-04-20,160,,
2020-04-21,144,,
2020-04-22,129,,
2020-04-23,123,,
2020-04-24,120,,
2020-04-25,114,,
2020-04-26,122,,
2020-04-27,125,,
2020-04-28,119,,
2020-04-29,114,,
2020-04-30,98,,
2020-05-01,82,,
2020-05-02,81,,
2020-05-03,80,,
2020-05-04,82,,
2020-05-05,71,,
2020-05-06,62,,
2020-05-07,63,,
2020-05-08,61,,
2020-05-09,59,,
2020-05-10,60,,
2020-05-11,59,,
2020-05-12,59,,
2020-05-13,61,,
2020-05-14,61,,
2020-05-15,58,,
2020-05-16,52,,
2020-05-17,52,,
2020-05-18,52,,
2020-05-19,51,,
2020-05-20,51,,
2020-05-21,41,,
2020-05-22,45,,
2020-05-23,35,,
2020-05-24,38,,
2020-05-25,40,,
2020-05-26,37,,
2020-05-27,36,,
2020-05-28,36,,
2020-05-29,30,,
2020-05-30,28,,
2020-05-31,28,,
2020-06-01,29,,
2020-06-02,32,,
2020-06-03,27,,
2020-06-04,29,,
2020-06-05,22,,
2020-06-06,21,,
2020-06-07,21,,
2020-06-08,21,,
2020-06-09,21,,
2020-06-10,18,,
2020-06-11,16,,
2020-06-12,16,,
2020-06-13,18,,
2020-06-15,18,,
2020-06-16,18,,
2020-06-17,18,,
2020-06-18,19,,
2020-06-19,17,,
2020-06-22,13,,
2020-06-23,12,,
2020-06-24,16,,
2020-06-25,18,,
2020-06-26,20,,
2020-06-29,18,,
2020-06-30,18,,
2020-07-01,17,,
2020-07-02,19,,
2020-07-03,15,,
2020-07-06,11,,
2020-07-07,9,,
2020-07-08,8,,
2020-07-09,8,,
2020-07-10,4,,
2020-07-13,7,,
2020-07-14,7,,
2020-07-15,5,,
2020-07-16,6,,
2020-07-17,8,,
2020-07-20,10,,
2020-07-21,7,,
2020-07-22,3,,
2020-07-23,3,,
2020-07-24,3,,
2020-07-27,7,,
2020-07-28,5,,
2020-07-29,6,,
2020-07-30,6,,
2020-07-31,3,,
2020-08-03,14,,
2020-08-04,12,,
2020-08-05,11,,
2020-08-06,14,,
2020-08-07,15,,
2020-08-10,16,,
2020-08-11,15,,
2020-08-12,15,,
2020-08-13,12,,
2020-08-14,8,,
2020-08-17,14,,
2020-08-18,12,,
2020-08-19,11,,
2020-08-20,10,,
2020-08-21,13,,
2020-08-24,17,,
2020-08-25,18,,
2020-08-26,17,,
2020-08-27,17,,
2020-08-28,16,,
2020-08-31,12,,
2020-09-01,11,,
2020-09-02,11,,
2020-09-03,13,,
2020-09-04,16,,
2020-09-07,15,,
2020-09-08,11,,
2020-09-09,14,,
2020-09-10,11,,
2020-09-11,16,,
2020-09-14,21,,
2020-09-15,18,,
2020-09-16,16,,
2020-09-17,20,,
2020-09-18,16,,
2020-09-21,23,,
2020-09-22,21,,
2020-09-23,19,,
2020-09-24,24,,
2020-09-25,19,,
2020-09-28,21,,
2020-09-29,24,,
2020-09-30,28,,
2020-10-01,25,,
2020-10-02,27,,
2020-10-05,25,,
2020-10-06,22,,
2020-10-07,25,,
2020-10-08,27,,
2020-10-09,23,,
2020-10-12,31,,
2020-10-13,27,,
2020-10-14,23,,
2020-10-15,24,,
2020-10-16,28,,
2020-10-19,28,,
2020-10-20,29,,
2020-10-21,36,,
2020-10-22,44,,
2020-10-23,44,,
2020-10-26,54,,
2020-10-27,51,,
2020-10-28,49,,
2020-10-29,47,,
2020-10-30,60,,
2020-10-31,60,,
2020-11-01,63,,
2020-11-02,64,,
2020-11-03,61,,
2020-11-04,70,,
2020-11-05,72,,
2020-11-06,88,,
2020-11-07,92,,
2020-11-08,96,,
