data,hospital,icu,ventilator
2020-03-06,128,,
2020-03-07,146,,
2020-03-08,168,,
2020-03-09,467,,
2020-03-10,220,,
2020-03-11,317,,
2020-03-12,384,,
2020-03-13,521,,
2020-03-14,526,,
2020-03-15,768,,
2020-03-16,734,,
2020-03-17,822,,
2020-03-18,923,,
2020-03-19,871,,
2020-03-20,898,,
2020-03-21,1047,,
2020-03-22,1084,,
2020-03-23,1138,,
2020-03-24,1479,,
2020-03-25,1615,,
2020-03-26,1606,,
2020-03-27,1696,,
2020-03-28,1719,,
2020-03-29,1879,,
2020-03-30,1900,,
2020-03-31,1924,,
2020-04-01,2317,,
2020-04-02,2158,,
2020-04-03,2303,,
2020-04-04,2434,,
2020-04-05,2444,,
2020-04-06,2476,,
2020-04-07,2425,,
2020-04-08,2473,,
2020-04-09,2409,,
2020-04-10,2426,,
2020-04-11,2481,,
2020-04-12,2510,,
2020-04-13,2471,,
2020-04-14,2499,,
2020-04-15,2607,,
2020-04-16,2673,,
2020-04-17,2725,,
2020-04-18,2483,,
2020-04-19,2511,,
2020-04-20,2914,,
2020-04-21,3505,,
2020-04-22,3099,,
2020-04-23,3095,,
2020-04-24,2821,,
2020-04-25,2749,,
2020-04-26,2759,,
2020-04-27,2934,,
2020-04-28,2973,,
2020-04-29,3012,,
2020-04-30,2789,,
2020-05-01,2649,,
2020-05-02,2761,,
2020-05-03,2653,,
2020-05-04,2738,,
2020-05-05,2760,,
2020-05-06,2711,,
2020-05-07,2758,,
2020-05-08,2768,,
2020-05-09,2658,,
2020-05-10,2598,,
2020-05-11,2571,,
2020-05-12,2648,,
2020-05-13,2538,,
2020-05-14,2579,,
2020-05-15,2407,,
2020-05-16,2459,,
2020-05-17,2544,,
2020-05-18,2490,,
2020-05-19,2414,,
2020-05-20,2330,,
2020-05-21,2261,,
2020-05-22,2271,,
2020-05-23,2242,,
2020-05-24,2268,,
2020-05-25,2171,,
2020-05-26,2320,,
2020-05-27,2248,,
2020-05-28,2035,,
2020-05-29,2207,,
2020-05-30,2134,,
