date,hospital,icu,ventilator
2020-03-03,,,
2020-03-04,,,
2020-03-05,,,
2020-03-06,,,
2020-03-07,,,
2020-03-08,,,
2020-03-09,,,
2020-03-10,,,
2020-03-11,,,
2020-03-12,,,
2020-03-13,,,
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,0,0,
2020-03-27,0,0,
2020-03-28,0,0,
2020-03-29,0,0,
2020-03-30,0,0,
2020-03-31,0,0,
2020-04-01,0,0,
2020-04-02,0,0,
2020-04-03,0,0,
2020-04-04,0,0,
2020-04-05,0,0,
2020-04-06,0,0,
2020-04-07,0,0,
2020-04-08,0,0,
2020-04-09,0,0,
2020-04-10,0,0,
2020-04-11,0,0,
2020-04-12,0,0,
2020-04-13,0,0,
2020-04-14,0,0,
2020-04-15,0,0,
2020-04-16,0,0,
2020-04-17,0,0,
2020-04-18,0,228,
2020-04-19,0,0,
2020-04-20,0,0,
2020-04-21,0,0,
2020-04-22,0,0,
2020-04-23,0,0,
2020-04-24,0,0,
2020-04-25,0,0,
2020-04-26,0,0,
2020-04-27,0,0,
2020-04-28,0,0,
2020-04-29,0,0,
2020-04-30,0,0,
2020-05-01,0,0,
2020-05-02,0,0,
2020-05-03,0,0,
2020-05-04,0,0,
2020-05-05,0,0,
2020-05-06,0,0,
2020-05-07,0,0,
2020-05-08,0,0,
2020-05-09,0,0,
2020-05-10,0,0,
2020-05-11,0,0,
2020-05-12,709,113,
2020-05-13,692,103,
2020-05-14,680,108,
2020-05-15,673,112,
2020-05-16,657,115,
2020-05-17,649,108,
2020-05-18,628,105,
2020-05-19,629,101,
2020-05-20,609,93,
2020-05-21,608,92,
2020-05-22,576,84,
2020-05-23,550,80,
2020-05-24,536,78,
2020-05-25,531,72,
2020-05-26,513,71,
2020-05-27,510,66,
2020-05-28,512,65,
2020-05-29,529,66,
2020-05-30,514,63,
2020-05-31,474,64,
2020-06-02,432,58,
2020-06-03,428,56,
2020-06-04,445,58,
2020-06-05,475,64,
2020-06-06,414,57,
2020-06-07,398,58,
2020-06-08,366,55,
2020-06-09,394,65,
2020-06-10,415,70,
2020-06-11,415,70,
2020-06-12,440,73,
2020-06-13,428,77,
2020-06-14,419,73,
2020-06-15,423,71,
2020-06-17,435,69,
2020-06-18,416,67,
2020-06-19,422,67,
2020-06-20,422,70,
2020-06-21,407,69,
2020-06-22,424,72,
2020-06-23,441,72,
2020-06-24,429,73,
2020-06-25,436,67,
2020-06-26,457,67,
2020-06-27,442,70,
2020-06-28,458,75,
2020-06-29,489,71,
2020-06-30,491,73,
2020-07-01,503,79,
2020-07-05,504,73,
2020-07-06,513,74,
2020-07-07,511,76,
2020-07-08,512,74,
2020-07-09,487,73,
2020-07-10,471,66,
2020-07-11,459,68,
2020-07-12,462,64,
2020-07-13,467,63,
2020-07-14,472,69,
2020-07-15,478,68,
2020-07-16,476,72,
2020-07-17,447,67,
2020-07-18,452,65,
2020-07-19,439,61,
2020-07-20,454,61,
2020-07-21,439,62,
2020-07-23,431,59,
2020-07-26,403,48,
2020-07-27,414,45,
2020-07-28,402,41,
2020-07-29,,,
2020-07-30,,,
2020-07-31,,,
2020-08-02,,,
2020-08-03,,,
2020-08-04,,,
2020-08-05,,,
2020-08-06,,,
2020-08-07,,,
2020-08-08,,,
2020-08-09,,,
2020-08-10,,,
2020-08-11,,,
2020-08-12,,,
2020-08-13,,,
2020-08-14,,,
2020-08-15,,,
2020-08-16,,,
2020-08-17,,,
2020-08-18,,,
2020-08-19,,,
2020-08-20,,,
2020-08-21,,,
2020-08-23,,,
2020-08-24,,,
2020-08-28,334,38,
2020-08-29,324,40,
2020-08-30,341,41,
2020-08-31,349,41,
2020-09-01,350,44,
2020-09-02,337,41,
2020-09-03,334,44,
2020-09-04,339,40,
2020-09-05,345,41,
2020-09-06,354,43,
2020-09-07,381,49,
2020-09-08,394,50,
2020-09-09,391,52,
2020-09-10,406,57,
2020-09-11,404,54,
2020-09-12,438,59,
2020-09-13,452,57,
2020-09-14,477,61,
2020-09-15,478,59,
2020-09-16,482,61,
2020-09-17,480,59,
2020-09-18,465,57,
2020-09-19,497,64,
2020-09-21,518,61,
2020-09-22,546,70,
2020-09-23,571,77,
2020-09-24,588,85,
2020-09-25,624,86,
2020-09-27,635,89,
2020-09-28,659,98,
2020-09-29,661,99,
2020-09-30,666,105,
2020-10-01,682,107,
2020-10-02,682,107,
2020-10-03,668,106,
2020-10-04,682,105,
2020-10-05,701,106,
2020-10-06,732,104,
2020-10-07,764,104,
2020-10-08,801,115,
2020-10-09,811,125,
2020-10-10,831,122,
2020-10-11,843,124,
2020-10-12,877,128,
2020-10-13,916,132,
2020-10-14,957,135,
2020-10-15,993,139,
2020-10-16,1015,144,
2020-10-17,1012,148,
2020-10-18,1086,155,
2020-10-19,1174,165,
2020-10-20,1237,176,
2020-10-21,1272,187,
2020-10-22,1365,200,
2020-10-24,1418,198,
2020-10-25,1574,230,
2020-10-26,1672,240,
2020-10-27,1747,253,
2020-10-28,,,
2020-10-29,1794,262,
2020-10-30,1927,275,
2020-10-31,1972,286,
2020-11-01,2122,284,
2020-11-02,2255,294,
2020-11-03,2349,320,
2020-11-04,2337,325,
2020-11-05,2362,320,
2020-11-06,2425,340,
2020-11-07,2420,366,
2020-11-08,2522,378,
2020-11-09,2651,391,
2020-11-10,2742,382,
