date,hospital,icu,ventilator
2020-03-06,,,
2020-03-07,,,
2020-03-08,,,
2020-03-09,,,
2020-03-10,,,
2020-03-11,,,
2020-03-12,,,
2020-03-13,,,
2020-03-14,,,
2020-03-15,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,0,0,
2020-03-25,0,0,
2020-03-26,0,0,
2020-03-27,0,0,
2020-03-28,0,0,
2020-03-29,0,0,
2020-03-30,0,0,
2020-03-31,0,0,
2020-04-01,0,0,
2020-04-02,0,0,
2020-04-03,0,0,
2020-04-04,0,0,
2020-04-05,0,0,
2020-04-06,0,0,
2020-04-07,0,0,
2020-04-08,0,0,
2020-04-09,0,0,
2020-04-10,0,0,
2020-04-11,0,0,
2020-04-12,0,0,
2020-04-13,0,0,
2020-04-14,0,0,
2020-04-15,0,0,
2020-04-16,0,0,
2020-04-17,0,0,
2020-04-18,0,0,
2020-04-19,0,0,
2020-04-20,0,0,
2020-04-21,0,0,
2020-04-22,0,0,
2020-04-24,222,6,
2020-04-25,212,6,
2020-04-26,181,6,
2020-04-27,186,6,
2020-04-28,175,6,
2020-04-29,180,8,
2020-04-30,181,8,
2020-05-01,176,5,
2020-05-02,142,5,
2020-05-03,137,7,
2020-05-04,150,7,
2020-05-05,159,6,
2020-05-06,167,4,
2020-05-07,162,4,
2020-05-08,122,3,
2020-05-09,111,4,
2020-05-10,110,5,
2020-05-11,118,5,
2020-05-12,120,5,
2020-05-13,139,5,
2020-05-14,134,4,
2020-05-15,116,3,
2020-05-16,118,3,
2020-05-17,116,3,
2020-05-18,106,3,
2020-05-19,106,3,
2020-05-20,100,3,
2020-05-21,88,3,
2020-05-22,76,2,
2020-05-23,60,1,
2020-05-24,53,1,
2020-05-25,61,1,
2020-05-26,64,1,
2020-05-27,59,1,
2020-05-28,62,0,
2020-05-29,59,0,
2020-05-30,56,0,
2020-05-31,46,0,
2020-06-01,48,0,
2020-06-02,38,0,
2020-06-03,42,0,
2020-06-04,32,0,
2020-06-05,39,0,
2020-06-06,37,0,
2020-06-07,38,0,
2020-06-08,37,0,
2020-06-09,28,0,
2020-06-10,28,0,
2020-06-11,28,0,
2020-06-12,24,0,
2020-06-13,24,0,
2020-06-14,24,0,
2020-06-15,24,0,
2020-06-16,0,0,
2020-06-17,18,0,
2020-06-18,20,0,
2020-06-19,20,0,
2020-06-20,20,0,
2020-06-21,19,0,
2020-06-22,19,0,
2020-06-23,18,1,
2020-06-24,19,1,
2020-06-25,20,1,
2020-06-26,14,3,
2020-06-27,15,3,
2020-06-28,15,3,
2020-06-29,15,3,
2020-06-30,19,3,
2020-07-01,20,3,
2020-07-02,14,3,
2020-07-03,9,2,
2020-07-04,9,2,
2020-07-05,11,2,
2020-07-06,11,3,
2020-07-07,12,3,
2020-07-08,10,3,
2020-07-09,10,3,
2020-07-10,13,3,
2020-07-11,13,3,
2020-07-12,13,3,
2020-07-13,13,3,
2020-07-14,13,3,
2020-07-15,13,2,
2020-07-16,12,2,
2020-07-17,15,2,
2020-07-18,15,2,
2020-07-19,15,2,
2020-07-20,15,2,
2020-07-21,17,2,
2020-07-22,16,2,
2020-07-23,16,2,
2020-07-24,21,2,
2020-07-25,21,2,
2020-07-26,21,2,
2020-07-27,21,2,
2020-07-28,24,2,
2020-07-29,25,2,
2020-07-30,25,2,
2020-07-31,29,1,
2020-08-01,29,1,
2020-08-02,29,1,
2020-08-03,29,1,
2020-08-04,23,1,
2020-08-05,29,1,
2020-08-06,29,1,
2020-08-07,41,2,
2020-08-08,40,2,
2020-08-09,43,3,
2020-08-10,45,3,
2020-08-11,41,2,
2020-08-12,58,2,
2020-08-13,57,2,
2020-08-14,51,2,
2020-08-15,50,2,
2020-08-16,53,2,
2020-08-17,53,2,
2020-08-18,71,4,
2020-08-19,64,4,
2020-08-20,59,4,
2020-08-21,60,4,
2020-08-23,61,4,
2020-08-25,65,7,
2020-08-26,70,7,
2020-08-27,72,6,
2020-08-29,76,7,
2020-08-30,76,7,
2020-08-31,77,7,
2020-09-01,77,7,
2020-09-02,99,11,
2020-09-03,105,10,
2020-09-04,92,9,
2020-09-05,95,8,
2020-09-06,99,11,
2020-09-07,99,11,
2020-09-08,110,17,
2020-09-09,131,17,
2020-09-10,115,16,
2020-09-11,117,15,
2020-09-12,117,14,
2020-09-13,130,12,
2020-09-14,129,12,
2020-09-15,141,13,
2020-09-16,141,13,
2020-09-17,121,10,
2020-09-18,121,10,
2020-09-19,125,8,
2020-09-20,120,9,
2020-09-21,121,9,
2020-09-22,140,10,
2020-09-23,143,9,
2020-09-24,141,14,
2020-09-25,160,12,
2020-09-26,185,12,
2020-09-27,199,16,
2020-09-28,197,16,
2020-09-29,222,16,
2020-09-30,254,13,
2020-10-01,254,13,
2020-10-02,251,15,
2020-10-03,275,15,
2020-10-04,275,13,
2020-10-05,279,13,
2020-10-06,311,13,
2020-10-07,340,16,
2020-10-08,352,15,
2020-10-09,370,16,
2020-10-10,380,12,
2020-10-11,388,12,
2020-10-12,393,12,
2020-10-13,397,15,
2020-10-14,397,18,
2020-10-15,476,18,
2020-10-16,540,18,
2020-10-17,614,20,
2020-10-18,633,20,
2020-10-19,638,21,
2020-10-20,724,22,
2020-10-21,844,18,
2020-10-22,876,20,
2020-10-23,828,15,
2020-10-24,920,66,
2020-10-25,1117,66,
2020-10-26,1117,82,
2020-10-27,1170,96,
2020-10-28,1231,82,
2020-10-29,1291,83,
2020-10-30,1411,110,
2020-10-31,1399,110,
2020-11-01,1330,104,
2020-11-02,1462,106,
2020-11-03,1542,104,
2020-11-05,1696,119,
2020-11-06,1742,112,
2020-11-08,1731,119,
2020-11-09,1807,121,
2020-11-10,1872,119,
2020-11-11,1839,117,
2020-11-12,1847,105,
2020-11-14,1743,108,
2020-11-15,1701,95,
