date,hospital,icu,ventilator
2020-03-30,,267,
2020-03-31,,298,
2020-04-01,,314,
2020-04-02,,347,
2020-04-03,,366,
2020-04-04,,378,
2020-04-05,,404,
2020-04-06,,426,
2020-04-07,,436,
2020-04-08,,467,
2020-04-09,,472,
2020-04-10,,490,
2020-04-11,,492,
2020-04-12,,516,
2020-04-13,,529,
2020-04-14,,530,
2020-04-15,,540,
2020-04-16,,527,
2020-04-17,,529,
2020-04-18,,544,
2020-04-19,,544,
2020-04-20,,527,
2020-04-21,,537,
2020-04-22,,525,
2020-04-23,,531,
2020-04-24,,547,
2020-04-25,,558,
2020-04-26,,558,
2020-04-27,,543,
2020-04-28,,553,
2020-04-29,,531,
2020-04-30,,543,
2020-05-01,,529,
2020-05-02,,515,
2020-05-03,,512,
2020-05-04,,515,
2020-05-05,,506,
2020-05-06,,496,
2020-05-07,,481,
2020-05-08,,475,
2020-05-09,,472,
2020-05-10,,466,
2020-05-11,,448,
2020-05-12,,424,
2020-05-13,,412,
2020-05-14,,401,
2020-05-15,,396,
2020-05-16,,376,
2020-05-17,,373,
2020-05-18,,384,
2020-05-19,,374,
2020-05-20,,361,
2020-05-21,,350,
2020-05-22,,334,
2020-05-23,,336,
2020-05-24,,337,
2020-05-25,,339,
2020-05-26,,345,
2020-05-27,,336,
2020-05-28,,330,
2020-05-29,,311,
2020-05-30,,309,
2020-05-31,,315,
2020-06-01,,309,
2020-06-02,,309,
2020-06-03,,300,
2020-06-04,,295,
2020-06-05,,293,
2020-06-06,,288,
2020-06-07,,301,
2020-06-08,,294,
2020-06-09,,290,
2020-06-10,,281,
2020-06-11,,270,
2020-06-12,,260,
2020-06-13,,254,
2020-06-14,,251,
2020-06-15,,242,
2020-06-16,,230,
2020-06-17,,218,
2020-06-18,,219,
2020-06-19,,210,
2020-06-20,,213,
2020-06-21,,200,
2020-06-22,,201,
2020-06-23,,192,
2020-06-24,,191,
2020-06-25,,178,
2020-06-26,,171,
2020-06-27,,156,
2020-06-28,,152,
2020-06-29,,153,
2020-06-30,,145,
2020-07-01,,137,
2020-07-02,,124,
2020-07-03,,129,
2020-07-04,,124,
2020-07-05,,120,
2020-07-06,,116,
2020-07-07,,102,
2020-07-08,,92,
2020-07-09,,90,
2020-07-10,,83,
2020-07-11,,86,
2020-07-12,,83,
2020-07-13,,87,
2020-07-14,,79,
2020-07-15,,73,
2020-07-16,,70,
2020-07-17,,62,
2020-07-18,,62,
2020-07-19,,56,
2020-07-20,,49,
2020-07-21,,58,
2020-07-22,,58,
2020-07-23,,58,
2020-07-24,,50,
2020-07-25,,53,
2020-07-26,,47,
2020-07-27,,49,
2020-07-28,,46,
2020-07-29,,42,
2020-07-30,,41,
2020-07-31,,39,
2020-08-01,,38,
2020-08-02,,40,
2020-08-03,,38,
2020-08-04,,41,
2020-08-05,,39,
2020-08-06,,38,
2020-08-07,,36,
2020-08-08,,38,
2020-08-09,,35,
2020-08-10,,34,
2020-08-11,,35,
2020-08-12,,33,
2020-08-13,,30,
2020-08-14,,31,
2020-08-15,,31,
2020-08-16,,29,
2020-08-17,,31,
2020-08-18,,28,
2020-08-19,,28,
2020-08-20,,27,
2020-08-21,,26,
2020-08-22,,24,
2020-08-23,,25,
2020-08-24,,22,
2020-08-25,,26,
2020-08-26,,21,
2020-08-27,,21,
2020-08-28,,21,
2020-08-29,,21,
2020-08-30,,22,
2020-08-31,,19,
2020-09-01,,16,
2020-09-02,,15,
2020-09-03,,16,
2020-09-04,,17,
2020-09-05,,17,
2020-09-06,,17,
2020-09-07,,13,
2020-09-08,,13,
2020-09-09,,13,
2020-09-10,,12,
2020-09-11,,12,
2020-09-12,,14,
2020-09-13,,16,
2020-09-14,,17,
2020-09-15,,16,
2020-09-16,,15,
2020-09-17,,17,
2020-09-18,,15,
2020-09-19,,16,
2020-09-20,,19,
2020-09-21,,17,
2020-09-22,,19,
2020-09-23,,18,
2020-09-24,,18,
2020-09-25,,17,
2020-09-26,,18,
2020-09-27,,18,
2020-09-28,,20,
2020-09-29,,20,
2020-09-30,,21,
2020-10-01,,24,
2020-10-02,,22,
2020-10-03,,22,
2020-10-04,,20,
2020-10-05,,21,
2020-10-06,,23,
2020-10-07,,25,
2020-10-08,,26,
2020-10-09,,27,
2020-10-10,,25,
2020-10-11,,26,
2020-10-12,,23,
2020-10-13,,24,
2020-10-14,,28,
2020-10-15,,30,
2020-10-16,,30,
2020-10-17,,27,
2020-10-18,,24,
2020-10-19,,30,
2020-10-20,,32,
2020-10-21,,35,
2020-10-22,,39,
2020-10-23,,41,
2020-10-24,,45,
2020-10-25,,48,
2020-10-26,,56,
2020-10-27,,55,
2020-10-28,,57,
2020-10-29,,58,
2020-10-30,,59,
2020-10-31,,60,
2020-11-01,,63,
2020-11-02,,75,
2020-11-03,,81,
2020-11-04,,86,
2020-11-05,,92,
2020-11-06,,93,
2020-11-07,,98,
2020-11-08,,105,
2020-11-09,,120,
2020-11-10,,131,
2020-11-11,,129,
