date,hospital,icu,ventilator
2020-01-24,0,0,
2020-01-25,0,0,
2020-01-26,0,0,
2020-01-27,0,0,
2020-01-28,0,0,
2020-01-29,0,0,
2020-01-30,0,0,
2020-01-31,0,0,
2020-02-01,0,0,
2020-02-02,0,0,
2020-02-03,0,0,
2020-02-04,0,0,
2020-02-05,0,0,
2020-02-06,0,0,
2020-02-07,0,0,
2020-02-08,0,0,
2020-02-09,0,0,
2020-02-10,0,0,
2020-02-11,0,0,
2020-02-12,0,0,
2020-02-13,0,0,
2020-02-14,0,0,
2020-02-15,0,0,
2020-02-16,0,0,
2020-02-17,0,0,
2020-02-18,0,0,
2020-02-19,0,0,
2020-02-20,0,0,
2020-02-21,0,0,
2020-02-22,0,0,
2020-02-23,0,0,
2020-02-24,0,0,
2020-02-25,0,0,
2020-02-26,1,0,
2020-02-27,2,0,
2020-02-28,13,0,
2020-02-29,15,0,
2020-03-01,16,0,
2020-03-02,22,0,
2020-03-03,27,0,
2020-03-04,35,1,
2020-03-05,39,1,
2020-03-06,46,4,
2020-03-07,47,6,
2020-03-08,60,6,
2020-03-09,73,13,
2020-03-10,102,14,
2020-03-11,123,17,
2020-03-12,147,16,
2020-03-13,173,18,
2020-03-14,281,35,
2020-03-15,314,41,
2020-03-16,417,55,
2020-03-17,500,74,
2020-03-18,589,84,
2020-03-19,705,89,
2020-03-20,800,98,
2020-03-21,926,111,
2020-03-22,1072,143,
2020-03-23,1203,174,
2020-03-24,1346,178,
2020-03-25,1447,210,
2020-03-26,1571,233,
2020-03-27,1739,252,
2020-03-28,1826,278,
2020-03-29,1940,288,
2020-03-30,2081,319,
2020-03-31,2118,342,
2020-04-01,2189,368,
2020-04-02,2253,374,
2020-04-03,2229,379,
2020-04-04,2201,379,
2020-04-05,2203,368,
2020-04-06,2223,370,
2020-04-07,2213,386,
2020-04-08,2066,380,
2020-04-09,2065,382,
2020-04-10,1996,373,
2020-04-11,1743,354,
2020-04-12,1898,364,
2020-04-13,1793,346,
2020-04-14,1839,342,
2020-04-15,1713,322,
2020-04-16,1656,302,
2020-04-17,1557,295,
2020-04-18,1504,284,
2020-04-19,1490,274,
2020-04-20,1461,261,
2020-04-21,1395,247,
2020-04-22,1295,208,
2020-04-23,1281,205,
2020-04-24,1198,199,
2020-04-25,1207,200,
2020-04-26,1185,189,
2020-04-27,1160,185,
2020-04-28,1139,170,
2020-04-29,1057,173,
2020-04-30,979,158,
2020-05-01,921,145,
2020-05-02,871,139,
2020-05-03,869,137,
2020-05-04,844,125,
2020-05-05,816,123,
2020-05-06,787,120,
2020-05-07,733,114,
2020-05-08,688,102,
2020-05-09,626,92,
2020-05-10,612,85,
2020-05-11,631,86,
2020-05-12,633,80,
2020-05-13,579,77,
2020-05-14,542,75,
2020-05-15,510,69,
2020-05-16,468,65,
2020-05-17,470,63,
2020-05-18,474,59,
2020-05-19,303,59,
2020-05-20,270,49,
2020-05-21,261,47,
2020-05-22,227,42,
2020-05-23,222,46,
2020-05-24,227,42,
2020-05-25,242,43,
2020-05-26,233,41,
2020-05-27,212,37,
2020-05-28,182,29,
2020-05-29,187,31,
2020-05-30,145,27,
2020-05-31,144,29,
2020-06-01,142,27,
2020-06-02,139,24,
2020-06-03,143,30,
2020-06-04,123,26,
2020-06-05,120,25,
2020-06-06,111,24,
2020-06-07,109,25,
2020-06-08,112,25,
2020-06-09,111,20,
2020-06-10,113,20,
2020-06-11,96,14,
2020-06-12,101,14,
2020-06-13,97,13,
2020-06-14,105,15,
2020-06-15,96,14,
2020-06-16,85,12,
2020-06-17,96,13,
2020-06-18,97,11,
2020-06-19,89,11,
2020-06-20,81,9,
2020-06-21,85,8,
2020-06-22,95,10,
2020-06-23,81,8,
2020-06-24,92,9,
2020-06-25,89,9,
2020-06-26,80,8,
2020-06-27,79,8,
2020-06-28,78,8,
2020-06-29,99,10,
2020-06-30,91,9,
2020-07-01,102,12,
2020-07-02,96,10,
2020-07-03,93,12,
2020-07-04,78,15,
2020-07-05,75,14,
2020-07-06,79,14,
2020-07-07,70,12,
2020-07-08,77,14,
2020-07-09,73,11,
2020-07-10,83,15,
2020-07-11,78,13,
2020-07-12,81,12,
2020-07-13,102,16,
2020-07-14,92,15,
2020-07-15,96,20,
2020-07-16,92,18,
2020-07-17,108,24,
2020-07-18,99,20,
2020-07-19,96,16,
2020-07-20,110,24,
2020-07-21,102,20,
2020-07-22,101,21,
2020-07-23,96,20,
2020-07-24,112,21,
2020-07-25,107,21,
2020-07-26,99,18,
2020-07-27,106,19,
2020-07-28,92,18,
2020-07-29,113,18,
2020-07-30,109,19,
2020-07-31,128,22,
2020-08-01,122,23,
2020-08-02,126,24,
2020-08-03,138,26,
2020-08-04,126,20,
2020-08-05,132,22,
2020-08-06,108,18,
2020-08-07,113,20,
2020-08-08,103,17,
2020-08-09,105,16,
2020-08-10,119,19,
2020-08-11,102,18,
2020-08-12,115,22,
2020-08-13,103,20,
2020-08-14,102,21,
2020-08-15,109,20,
2020-08-16,107,20,
2020-08-17,119,17,
2020-08-18,113,16,
2020-08-19,114,17,
2020-08-20,107,16,
2020-08-21,115,15,
2020-08-22,108,15,
2020-08-23,109,15,
2020-08-24,115,16,
2020-08-25,101,16,
2020-08-26,110,16,
2020-08-27,104,12,
2020-08-28,108,13,
2020-08-29,106,13,
2020-08-30,108,14,
2020-08-31,116,17,
2020-09-01,110,13,
2020-09-02,111,12,
2020-09-03,111,12,
2020-09-04,122,13,
2020-09-05,123,15,
2020-09-06,123,14,
2020-09-07,128,15,
2020-09-08,122,12,
2020-09-09,125,14,
2020-09-10,126,12,
2020-09-11,138,14,
2020-09-12,139,13,
2020-09-13,146,13,
2020-09-14,158,16,
