date,hospital,icu,ventilator
2020-11-13,,,1355
2020-11-12,14915,,1275
2020-11-11,14761,,1268
2020-11-10,14089,,1219
2020-11-09,14260,,1269
2020-11-08,13687,,1230
2020-11-07,13292,,1205
2020-11-06,13185,,1185
2020-11-05,13025,,1181
2020-11-04,13091,,1191
2020-11-03,13049,,1142
2020-11-02,12426,,1075
2020-11-01,11579,,977
2020-10-31,11647,,1002
2020-10-30,11231,,978
2020-10-29,11051,,974
2020-10-28,10818,,957
2020-10-27,10432,,902
2020-10-26,9633,,852
2020-10-25,9326,,827
2020-10-24,8836,,787
2020-10-23,8494,,743
2020-10-22,7978,,707
2020-10-21,7824,,711
2020-10-20,7556,,697
2020-10-19,7039,,657
2020-10-18,6555,,629
2020-10-17,6285,,613
2020-10-16,6046,,592
2020-10-15,5701,,581
2020-10-14,5404,,563
2020-10-13,5056,,516
2020-10-12,4769,,507
2020-10-11,4490,,477
2020-10-10,4187,,470
2020-10-09,3995,,440
2020-10-08,3920,,436
2020-10-07,3745,,442
2020-10-06,3497,,410
2020-10-05,3234,,393
2020-10-04,2927,,369
2020-10-03,2748,,369
2020-10-02,2606,,368
2020-10-01,2494,,341
2020-09-30,2433,,332
2020-09-29,2327,,314
2020-09-28,2309,,297
2020-09-27,2098,,276
2020-09-26,1948,,261
2020-09-25,1931,,262
2020-09-24,1765,,243
2020-09-23,1659,,228
2020-09-22,1580,,211
2020-09-21,1506,,181
2020-09-20,1351,,165
2020-09-19,1253,,144
2020-09-18,1177,,138
2020-09-17,1121,,127
2020-09-16,1061,,124
2020-09-15,1032,,115
2020-09-14,942,,105
2020-09-13,803,,92
2020-09-12,773,,86
2020-09-11,739,,77
2020-09-10,916,,78
2020-09-09,896,,80
2020-09-08,870,,80
2020-09-07,876,,77
2020-09-06,791,,69
2020-09-05,785,,65
2020-09-04,790,,69
2020-09-03,783,,76
2020-09-02,769,,81
2020-09-01,829,,82
2020-08-31,822,,71
2020-08-30,799,,68
2020-08-29,797,,66
2020-08-28,770,,60
2020-08-27,788,,71
2020-08-26,777,,64
2020-08-25,794,,68
2020-08-24,819,,68
2020-08-23,813,,72
2020-08-22,886,,71
2020-08-21,833,,72
2020-08-20,867,,76
2020-08-19,869,,70
2020-08-18,893,,73
2020-08-17,920,,73
2020-08-16,917,,78
2020-08-15,912,,76
2020-08-14,933,,73
2020-08-13,945,,75
2020-08-12,937,,80
2020-08-11,965,,73
2020-08-10,1012,,70
2020-08-09,909,,65
2020-08-08,934,,62
2020-08-07,1013,,67
2020-08-06,1081,,69
2020-08-05,1113,,73
2020-08-04,1137,,76
2020-08-03,1167,,77
2020-08-02,1167,,81
2020-08-01,1211,,92
2020-07-31,1194,,86
2020-07-30,1243,,84
2020-07-29,1264,,87
2020-07-28,1284,,93
2020-07-27,1280,,97
2020-07-26,1294,,92
2020-07-25,1265,,93
2020-07-24,1354,,104
2020-07-23,1451,,111
2020-07-22,1643,,110
2020-07-21,1517,,137
2020-07-20,1608,,129
2020-07-19,1621,,131
2020-07-18,1656,,137
2020-07-17,1681,,143
2020-07-16,1697,,142
2020-07-15,1838,,153
2020-07-14,1868,,145
2020-07-13,1964,,162
2020-07-12,1955,,159
2020-07-11,1947,,168
2020-07-10,2095,,191
2020-07-09,2181,,188
2020-07-08,2260,,185
2020-07-07,2399,,197
2020-07-06,2501,,209
2020-07-05,2554,,217
2020-07-04,2593,,220
2020-07-03,2725,,231
2020-07-02,2849,,239
2020-07-01,2970,,259
2020-06-30,3151,,279
2020-06-29,3496,,262
2020-06-28,3315,,270
2020-06-27,3291,,270
2020-06-26,3368,,268
2020-06-25,3590,,276
2020-06-24,3737,,316
2020-06-23,3846,,311
2020-06-22,3965,,340
2020-06-21,3902,,310
2020-06-20,3930,,315
2020-06-19,4082,,330
2020-06-18,4219,,352
2020-06-17,4348,,357
2020-06-16,4488,,378
2020-06-15,4487,,385
2020-06-14,4517,,393
2020-06-13,4518,,390
2020-06-12,4659,,393
2020-06-11,4728,,390
2020-06-10,4969,,439
2020-06-09,5227,,491
2020-06-08,5408,,509
2020-06-07,5429,,515
2020-06-06,5631,,540
2020-06-05,5841,,554
2020-06-04,5996,,571
2020-06-03,6254,,602
2020-06-02,6448,,636
2020-06-01,6632,,652
2020-05-31,6580,,679
2020-05-30,6613,,704
2020-05-29,6904,,719
2020-05-28,7206,,751
2020-05-27,7467,,783
2020-05-26,7790,,847
2020-05-25,7885,,863
2020-05-24,7859,,886
2020-05-23,7856,,926
2020-05-22,8220,,964
2020-05-21,8257,,1008
2020-05-20,8505,,1034
2020-05-19,8905,,1106
2020-05-18,9091,,1141
2020-05-17,9116,,1196
2020-05-16,9097,,1234
2020-05-15,9489,,1302
2020-05-14,9692,,1314
