data,hospital,icu,ventilator
2020-11-12,67096,12796,3622
2020-11-11,65373,12518,3367
2020-11-10,61964,11952,3205
2020-11-09,59275,11533,3110
2020-11-08,56799,11120,2977
2020-11-07,55840,11082,2947
2020-11-06,54824,11085,2850
2020-11-05,53322,10918,2877
2020-11-04,52049,10761,2832
2020-11-03,50340,10406,2733
2020-11-02,48470,9858,2637
2020-11-01,47520,9553,2553
2020-10-31,47375,9499,2502
2020-10-30,46688,9437,2477
2020-10-29,46095,9208,2403
2020-10-28,45045,9034,2347
2020-10-27,44212,8909,2287
2020-10-26,42917,8842,2301
2020-10-25,41776,8489,2176
2020-10-24,41905,8561,2230
2020-10-23,41482,8237,2180
2020-10-22,41010,8086,2147
2020-10-21,40271,8182,2090
2020-10-20,39230,8131,2045
2020-10-19,37826,7997,1800
2020-10-18,36437,7292,1762
2020-10-17,37359,7384,1791
2020-10-16,37336,7251,1739
2020-10-15,37308,7220,1769
2020-10-14,37048,7156,1776
2020-10-13,36051,7020,1755
2020-10-12,35072,6807,1666
2020-10-11,34490,6679,1646
2020-10-10,34618,6683,1667
2020-10-09,34839,6713,1655
2020-10-08,34322,6621,1638
2020-10-07,33457,6507,1646
2020-10-06,32595,6438,1609
2020-10-05,31299,6209,1515
2020-10-04,29942,5974,1485
2020-10-03,30113,5996,1501
2020-10-02,30744,6106,1533
2020-10-01,30790,6173,1547
2020-09-30,30911,6145,1507
2020-09-29,30473,6106,1495
2020-09-28,29608,5981,1518
2020-09-27,29434,6080,1511
2020-09-26,29554,6057,1509
2020-09-25,29769,6133,1506
2020-09-24,30043,6168,1560
2020-09-23,29905,6113,1544
2020-09-22,29459,6111,1562
2020-09-21,28755,6071,1572
2020-09-20,28608,6015,1595
2020-09-19,29035,6070,1577
2020-09-18,29501,6175,1608
2020-09-17,29900,6278,1658
2020-09-16,30278,6308,1651
2020-09-15,30328,6310,1572
2020-09-14,29895,6238,1507
2020-09-13,29810,6233,1562
2020-09-12,30655,6451,1619
2020-09-11,31421,6379,1715
2020-09-10,32421,6531,1925
2020-09-09,32562,6646,1903
2020-09-08,32262,6542,1879
2020-09-07,31999,6630,1879
2020-09-06,32372,6700,1912
2020-09-05,33502,6766,1956
2020-09-04,34099,6924,1995
2020-09-03,34682,6921,2042
2020-09-02,35569,7087,2024
2020-09-01,35271,7090,2042
2020-08-31,35352,7043,2077
2020-08-30,35726,7268,2055
2020-08-29,36428,7413,2062
2020-08-28,37239,7558,2086
2020-08-27,37464,7717,2125
2020-08-26,38401,7737,2142
2020-08-25,38779,7863,2163
2020-08-24,38673,7851,2118
2020-08-23,39017,7949,2131
2020-08-22,39894,8207,2204
2020-08-21,40951,8357,2286
2020-08-20,41988,8483,2335
2020-08-19,43330,8744,2371
2020-08-18,43758,8866,2468
2020-08-17,43485,8871,2447
2020-08-16,44046,8958,2481
2020-08-15,44795,9087,2526
2020-08-14,45776,9277,2549
2020-08-13,47218,9487,2579
2020-08-12,47991,9555,2604
2020-08-11,48498,9136,2415
2020-08-10,48635,9216,2533
2020-08-09,48899,9307,2507
2020-08-08,49911,9662,2566
2020-08-07,51207,9691,2617
2020-08-06,53132,9994,2718
2020-08-05,53353,9986,2719
2020-08-04,53326,10207,2701
2020-08-03,53377,10230,2659
2020-08-02,54017,10415,2645
2020-08-01,54470,10450,2698
2020-07-31,55593,10472,2703
2020-07-30,56427,10523,2760
2020-07-29,57339,10539,2772
2020-07-28,57091,10463,2752
2020-07-27,58897,10328,2720
2020-07-26,58621,10353,2723
2020-07-25,59301,10380,2729
2020-07-24,59682,10395,2711
2020-07-23,59718,10414,2465
2020-07-22,59596,10457,2440
2020-07-21,59364,6711,2414
2020-07-20,58370,6557,2403
2020-07-19,57885,6384,2362
2020-07-18,57645,6397,2343
2020-07-17,57759,6452,2353
2020-07-16,57440,6359,2317
2020-07-15,56144,6317,2317
2020-07-14,55565,6235,2263
2020-07-13,53988,6074,2259
2020-07-12,52727,5930,2182
2020-07-11,51858,5939,2169
2020-07-10,51599,5896,2197
2020-07-09,43933,5845,2127
2020-07-08,43076,5874,2172
2020-07-07,41760,5832,2098
2020-07-06,39769,5687,2105
2020-07-05,38764,5653,2080
2020-07-04,38146,5633,1982
2020-07-03,37798,5597,2049
2020-07-02,37500,5626,2105
2020-07-01,36405,5512,2098
2020-06-30,35248,5424,2044
